Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_abstr_110,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_112,4.49E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_113,4.28E-1,3.83E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_114,2.80E-2,2.38E-2,6.27E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_115,8.18E-2,6.87E-2,1.47E-1,2.78E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_A,5.43E-9,7.92E-9,8.40E-9,5.87E-10,8.99E-10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_B,1.47E-1,1.70E-1,1.10E-1,5.95E-3,1.76E-2,6.41E-7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_C,2.85E-1,3.15E-1,2.21E-1,2.19E-2,5.52E-2,6.28E-7,3.74E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_D,4.83E-1,4.53E-1,4.31E-1,7.75E-2,1.64E-1,2.51E-7,1.94E-1,3.18E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_E,3.28E-1,3.60E-1,2.66E-1,3.30E-2,7.56E-2,3.03E-7,2.79E-1,4.16E-1,3.80E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_F,2.58E-2,3.21E-2,1.97E-2,6.67E-4,2.06E-3,3.30E-5,1.92E-1,1.25E-1,5.02E-2,8.11E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_G,1.87E-5,3.08E-5,2.40E-5,2.67E-7,7.11E-7,1.17E-3,2.68E-3,1.78E-3,4.32E-4,8.22E-4,4.13E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_H,1.27E-2,1.58E-2,9.74E-3,4.08E-4,1.17E-3,1.17E-4,1.31E-1,8.60E-2,3.22E-2,4.99E-2,3.90E-1,8.21E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_101,3.25E-1,2.98E-1,4.21E-1,1.42E-1,2.73E-1,2.61E-8,9.03E-2,1.72E-1,3.44E-1,2.40E-1,1.81E-2,5.69E-5,1.09E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,2.04E-1,2.29E-1,1.53E-1,1.17E-2,3.20E-2,2.92E-6,4.88E-1,3.81E-1,2.16E-1,3.18E-1,1.89E-1,4.84E-3,1.35E-1,1.13E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_103,2.74E-1,2.64E-1,3.99E-1,2.14E-1,3.73E-1,2.81E-6,1.33E-1,2.28E-1,3.93E-1,3.00E-1,3.81E-2,8.15E-4,3.10E-2,4.82E-1,1.54E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,2.77E-1,3.18E-1,2.17E-1,1.05E-2,3.31E-2,4.97E-7,3.83E-1,4.54E-1,2.56E-1,4.21E-1,1.15E-1,9.25E-4,7.25E-2,1.45E-1,4.34E-1,1.46E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_105,2.04E-1,2.29E-1,1.53E-1,1.17E-2,3.20E-2,5.84E-6,4.92E-1,3.77E-1,2.10E-1,3.14E-1,2.03E-1,5.42E-3,1.44E-1,1.13E-1,4.92E-1,1.49E-1,4.22E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,3.25E-1,2.98E-1,4.21E-1,1.42E-1,2.73E-1,3.63E-8,9.75E-2,1.81E-1,3.48E-1,2.47E-1,2.00E-2,7.57E-5,1.25E-2,4.95E-1,1.17E-1,4.91E-1,1.45E-1,1.17E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_111,3.33E-1,2.96E-1,4.31E-1,8.37E-2,1.96E-1,6.29E-9,8.76E-2,1.85E-1,3.88E-1,2.39E-1,1.47E-2,1.41E-5,8.01E-3,4.60E-1,1.24E-1,4.16E-1,1.59E-1,1.24E-1,4.65E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_112,4.91E-1,4.83E-1,3.82E-1,4.27E-2,1.11E-1,6.94E-8,2.05E-1,3.36E-1,4.44E-1,4.32E-1,4.94E-2,1.77E-4,3.21E-2,2.82E-1,2.41E-1,2.91E-1,2.81E-1,2.38E-1,2.93E-1,3.29E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,4.53E-1,4.32E-1,4.35E-1,8.96E-2,1.90E-1,2.72E-7,1.88E-1,2.96E-1,5.00E-1,4.06E-1,5.02E-2,4.51E-4,3.62E-2,3.44E-1,2.07E-1,3.97E-1,2.33E-1,2.04E-1,3.61E-1,4.09E-1,4.23E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
