system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,0,,,'',:,,,$,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N]
D31001.M.100.T.C,5,6,0,5,0,0,0,0,5,106,3,0,51,1,5,0,0,5,2,0,0,0,0,0,0,13,1,1,13,0,0,18,7,0,1,0,1,13,7,10,0,0,1,2,2,1,0,1,0,0,2,0,3,7,2,6,0,2,2,1,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,2,0,0,0,0,0,0,13
D31009.M.100.T.C,5,2,0,4,1,0,0,0,3,102,6,0,30,0,11,0,2,4,3,2,0,0,0,0,0,22,3,1,10,0,0,14,11,0,0,0,0,16,7,19,0,0,0,1,1,0,0,0,0,0,3,0,4,8,1,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,9
D30028.M.100.T.A,5,5,0,5,0,0,0,0,2,105,4,0,23,1,3,15,3,0,3,0,0,0,0,0,0,25,6,2,9,0,0,10,10,0,0,0,0,14,5,20,0,0,2,0,3,2,0,0,0,0,2,0,2,7,4,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,12
D30026.M.100.T.C,5,5,0,4,0,1,0,0,0,101,2,0,20,1,0,0,0,13,0,0,0,0,0,0,0,14,2,1,8,0,0,11,3,0,0,0,1,18,4,17,1,0,0,1,4,0,0,0,0,0,6,0,5,2,2,2,1,4,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D31001.M.100.T.D,5,4,0,5,0,0,0,0,4,114,0,0,15,0,6,2,0,17,3,0,0,0,0,0,0,28,3,0,10,0,0,12,3,0,1,0,3,15,5,25,0,0,3,2,1,3,0,0,0,0,1,0,4,5,0,6,1,1,0,1,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,14
D30010.M.100.T.H,6,4,0,5,1,0,0,0,5,107,2,0,40,2,6,4,0,9,4,0,0,0,0,0,0,25,3,2,14,0,0,11,8,0,0,0,0,16,4,20,1,0,0,0,0,5,0,0,0,0,0,0,1,4,2,5,1,2,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,9
D30033.M.100.T.E,8,3,0,7,0,1,0,0,3,116,4,0,30,2,0,5,3,3,3,0,0,0,0,0,0,16,2,3,13,0,0,10,12,1,0,0,4,22,5,9,0,0,1,2,1,5,0,0,1,0,2,0,5,3,3,2,0,3,0,0,0,2,0,8,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,12
D31033.M.100.T.F,7,5,0,4,2,1,0,0,1,118,1,0,29,0,3,0,3,12,0,1,0,0,0,0,0,19,5,3,9,0,0,6,8,0,0,0,0,14,6,20,0,0,1,1,3,0,0,0,0,0,7,0,7,8,0,3,1,3,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,3,0,0,0,0,0,0,0,13
D31022.M.100.T.E,8,4,0,5,2,1,0,0,3,117,2,0,33,4,0,2,1,2,1,3,0,0,1,0,0,14,2,5,16,0,0,11,9,1,1,0,1,19,6,6,0,0,0,2,0,5,0,0,0,0,3,0,3,9,4,3,2,2,0,0,0,1,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,2,1,0,0,0,1,0,0,0,15
D30003.M.100.T.B,8,5,0,6,2,0,0,0,6,108,0,0,57,0,6,2,3,1,7,0,0,0,0,0,0,19,3,2,8,0,0,15,10,0,0,0,1,18,5,10,1,0,2,3,6,3,0,0,0,0,0,0,1,10,2,3,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,13
