1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,0,,,'',:,,,$,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N]
d30001t.CLASSY11,5,5,0,5,0,0,0,0,0,122,4,0,22,2,8,5,6,7,0,0,0,0,0,0,0,28,1,7,12,0,0,16,5,0,0,0,0,14,11,21,0,0,1,1,0,0,0,0,0,0,2,0,0,10,1,5,1,1,1,1,0,0,0,5,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,17
d31050t.RegSum,5,6,0,5,0,0,0,0,0,125,4,1,46,2,6,7,4,5,9,4,0,0,0,0,0,37,6,4,9,0,0,14,6,0,0,0,0,14,9,25,3,0,3,1,0,3,0,1,0,0,6,0,3,6,3,5,0,1,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0,9
d30005t.Submodular,3,2,0,2,0,1,0,0,4,115,5,0,114,2,7,9,4,0,2,0,0,0,0,0,0,24,2,4,17,0,0,19,10,0,0,0,0,16,8,15,1,0,1,2,1,1,0,0,1,0,4,0,2,2,1,6,0,3,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,8
d31009t.Submodular,5,6,0,5,0,0,0,0,2,110,5,0,27,0,8,2,5,4,0,0,0,0,0,0,0,19,1,0,10,0,0,12,9,0,1,0,1,19,2,16,0,0,2,4,2,4,0,0,0,0,4,0,5,10,2,2,0,1,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,14
d30049t.Submodular,4,3,0,3,1,0,0,0,2,116,1,0,83,0,3,14,1,0,6,0,0,0,0,0,0,24,4,0,11,0,0,13,13,0,0,0,2,10,8,18,1,0,0,2,1,2,0,0,0,0,6,0,5,6,2,5,1,1,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,15
d30044t.CLASSY11,4,4,0,4,0,0,0,0,4,105,1,0,39,1,5,5,3,0,6,0,1,0,0,0,0,21,1,1,8,0,0,12,7,0,0,0,1,26,2,12,1,0,2,1,3,0,0,0,1,0,4,0,3,4,5,3,0,2,1,1,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,12
d30059t.CLASSY11,4,5,1,2,1,0,0,0,1,109,2,0,23,1,4,10,3,2,2,0,1,0,0,0,0,23,1,1,12,0,0,19,9,1,0,0,0,21,3,16,0,0,3,1,2,1,0,0,0,0,2,0,1,5,0,4,0,0,0,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,6
d30022t.CLASSY11,4,5,0,3,0,1,0,0,1,110,0,0,39,0,9,5,3,11,1,0,1,0,0,0,0,30,7,0,7,0,0,13,6,0,1,0,0,11,8,22,1,0,3,1,2,1,0,0,1,0,2,0,2,5,2,4,2,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,8
d30007t.ICSISumm,4,4,0,4,0,0,0,0,4,106,2,0,34,2,5,6,2,0,3,3,0,0,0,0,0,21,3,2,9,0,0,13,9,0,0,0,0,14,11,13,1,0,3,1,1,0,0,0,1,0,4,0,2,3,2,3,4,0,0,1,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,0,0,1,0,0,0,9
d30059t.ICSISumm,4,3,0,3,1,0,0,0,0,108,4,0,33,0,4,7,8,2,1,0,0,0,0,0,0,22,2,0,12,0,0,14,9,1,0,0,0,22,3,15,0,0,5,1,1,0,1,0,0,0,3,0,1,8,0,5,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,8
d31032t.Submodular,6,4,0,6,0,0,0,0,6,114,1,0,13,0,9,3,3,0,1,5,0,0,0,0,0,21,5,1,12,0,0,7,11,0,0,0,2,15,7,17,0,0,1,1,4,3,0,0,1,0,5,0,6,6,0,2,1,3,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,13
d30045t.DPP,5,5,0,5,0,0,0,0,1,126,2,0,13,2,0,1,1,13,0,2,0,1,0,0,0,20,4,3,12,0,0,17,4,0,2,0,0,16,10,15,0,0,1,2,2,1,0,0,0,0,4,0,4,4,3,5,4,2,1,0,1,1,0,5,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,2,0,0,0,0,0,0,15
d30047t.DPP,4,1,0,3,0,1,0,0,1,116,2,0,52,1,0,2,4,4,4,2,0,0,1,0,0,18,3,3,14,0,0,10,9,0,0,0,1,22,7,11,0,0,2,1,0,1,1,0,1,0,5,0,5,2,4,2,1,2,1,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
d30024t.CLASSY04,3,5,0,2,1,0,0,0,2,109,2,0,21,0,12,0,3,4,1,2,0,0,0,0,0,22,3,0,10,0,0,14,6,0,0,0,0,17,3,24,1,0,2,2,2,2,0,0,1,0,1,0,1,3,3,3,1,2,2,0,0,0,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,10
d30003t.Submodular,4,2,0,4,0,0,0,0,6,107,1,0,38,0,6,5,1,0,6,0,0,0,0,0,0,18,4,0,10,0,0,16,13,0,0,0,1,17,3,13,0,0,1,4,1,0,0,0,0,0,4,0,4,5,3,3,0,4,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,12
d30003t.CLASSY04,4,7,0,3,1,0,0,0,5,106,0,1,27,1,8,6,1,0,5,2,0,0,0,0,0,23,3,2,7,0,0,14,13,0,0,0,0,16,4,19,0,0,2,2,4,0,0,0,0,0,2,0,2,6,2,3,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,10
d30027t.DPP,6,5,0,6,0,0,0,0,2,133,2,0,10,1,4,7,3,2,1,2,0,0,0,0,0,20,4,1,14,2,0,18,4,0,1,0,3,13,8,16,2,0,1,3,1,3,0,0,0,0,3,0,5,7,2,2,0,6,1,0,0,2,0,6,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,11
d30040t.DPP,5,4,0,4,1,0,0,0,4,110,1,0,51,1,0,8,2,2,5,4,0,0,2,0,0,24,2,2,14,0,0,16,9,1,1,0,1,16,8,11,2,0,0,1,1,2,0,0,1,0,4,0,3,4,3,1,1,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,9
d30020t.RegSum,5,6,0,5,0,0,0,0,4,126,3,0,17,1,0,9,11,0,11,2,0,0,1,0,0,35,3,1,12,0,0,13,13,0,0,0,1,12,11,20,5,0,2,1,1,1,0,0,2,0,5,0,5,7,5,2,1,2,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,13
d30008t.CLASSY04,4,5,0,4,0,0,0,0,1,103,1,0,44,0,6,9,4,2,5,0,1,0,0,0,0,27,1,0,7,0,0,11,12,0,0,0,1,13,3,25,0,0,2,1,3,2,0,0,0,0,6,0,4,3,3,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,9
d31050t.ICSISumm,4,3,1,3,0,0,0,0,2,105,1,0,37,3,9,3,6,4,2,4,0,0,0,0,0,31,5,6,7,0,0,9,8,0,0,0,0,10,6,22,2,0,2,0,0,4,0,0,0,0,3,0,2,7,2,2,0,1,0,1,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,8
