Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_abstr_110,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_112,2.39E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_113,4.15E-1,3.26E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_114,2.90E-1,1.16E-1,2.22E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_115,1.84E-1,4.05E-1,2.56E-1,8.42E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_A,5.80E-8,1.37E-8,5.28E-8,5.95E-7,1.77E-8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_B,2.44E-6,5.72E-7,2.03E-6,2.37E-5,6.37E-7,1.62E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_C,1.74E-7,4.40E-8,1.47E-7,1.56E-6,4.90E-8,4.07E-1,2.28E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_D,8.67E-10,3.41E-10,8.80E-10,6.42E-9,4.47E-10,9.53E-2,1.11E-2,5.88E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_E,1.16E-8,2.98E-9,1.13E-8,1.39E-7,4.17E-9,4.46E-1,1.76E-1,4.26E-1,5.53E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_F,1.93E-7,4.67E-8,1.72E-7,2.00E-6,5.76E-8,3.92E-1,2.37E-1,4.84E-1,5.68E-2,4.42E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_G,6.29E-7,1.01E-7,5.84E-7,1.04E-5,1.54E-7,5.62E-2,3.02E-1,1.07E-1,1.13E-3,4.66E-2,9.79E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_H,2.72E-8,8.27E-9,2.54E-8,2.25E-7,1.03E-8,2.50E-1,5.23E-2,1.87E-1,2.96E-1,1.74E-1,1.72E-1,1.05E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_101,1.57E-3,2.98E-4,1.02E-3,7.07E-3,2.18E-4,3.05E-3,3.53E-2,6.90E-3,5.49E-5,1.87E-3,6.94E-3,4.47E-2,7.41E-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,4.84E-5,1.32E-5,3.37E-5,2.27E-4,1.01E-5,1.71E-1,5.00E-1,2.31E-1,1.78E-2,2.37E-1,2.65E-1,3.01E-1,7.09E-2,6.60E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
