,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,2.48E-1
2,Humans_abstr_110,Humans_abstr_113,4.27E-1
3,Humans_abstr_110,Humans_abstr_114,4.27E-2
4,Humans_abstr_110,Humans_abstr_115,1.11E-1
5,Humans_abstr_110,Humans_duc_A,6.93E-9
6,Humans_abstr_110,Humans_duc_B,5.91E-2
7,Humans_abstr_110,Humans_duc_C,2.13E-1
8,Humans_abstr_110,Humans_duc_D,4.79E-1
9,Humans_abstr_110,Humans_duc_E,2.97E-1
10,Humans_abstr_110,Humans_duc_F,1.36E-2
11,Humans_abstr_110,Humans_duc_G,2.16E-5
12,Humans_abstr_110,Humans_duc_H,1.12E-2
13,Humans_abstr_110,Humans_movi_101,2.24E-1
14,Humans_abstr_110,Humans_movi_102,8.15E-2
15,Humans_abstr_110,Humans_movi_103,1.22E-1
16,Humans_abstr_110,Humans_movi_104,2.87E-1
17,Humans_abstr_110,Humans_movi_105,4.96E-1
18,Humans_abstr_110,Humans_movi_110,4.61E-1
19,Humans_abstr_110,Humans_movi_111,2.63E-1
20,Humans_abstr_110,Humans_movi_112,3.06E-1
21,Humans_abstr_110,Humans_movi_113,1.79E-1
22,Humans_abstr_110,Humans_movi_114,2.77E-1
23,Humans_abstr_110,Humans_movi_115,3.67E-1
24,Humans_abstr_110,Machines_base_Centroid,2.46E-8
25,Humans_abstr_110,Machines_base_FreqSum,2.42E-9
26,Humans_abstr_110,Machines_base_GreedyKL,2.19E-9
27,Humans_abstr_110,Machines_base_LexRank,1.48E-7
28,Humans_abstr_110,Machines_base_TsSum,2.33E-8
29,Humans_abstr_110,Machines_soa_CLASSY04,1.73E-8
30,Humans_abstr_110,Machines_soa_CLASSY11,5.93E-8
31,Humans_abstr_110,Machines_soa_DPP,3.30E-9
32,Humans_abstr_110,Machines_soa_ICSISumm,1.99E-8
33,Humans_abstr_110,Machines_soa_OCCAMS_V,3.31E-6
34,Humans_abstr_110,Machines_soa_RegSum,1.05E-8
35,Humans_abstr_110,Machines_soa_Submodular,3.10E-6
38,Humans_abstr_112,Humans_abstr_113,3.35E-1
39,Humans_abstr_112,Humans_abstr_114,1.81E-1
40,Humans_abstr_112,Humans_abstr_115,3.44E-1
41,Humans_abstr_112,Humans_duc_A,4.11E-9
42,Humans_abstr_112,Humans_duc_B,1.70E-2
43,Humans_abstr_112,Humans_duc_C,8.11E-2
44,Humans_abstr_112,Humans_duc_D,2.55E-1
45,Humans_abstr_112,Humans_duc_E,1.40E-1
46,Humans_abstr_112,Humans_duc_F,3.72E-3
47,Humans_abstr_112,Humans_duc_G,6.53E-6
48,Humans_abstr_112,Humans_duc_H,3.45E-3
49,Humans_abstr_112,Humans_movi_101,4.49E-1
50,Humans_abstr_112,Humans_movi_102,2.58E-1
51,Humans_abstr_112,Humans_movi_103,3.27E-1
52,Humans_abstr_112,Humans_movi_104,4.68E-1
53,Humans_abstr_112,Humans_movi_105,2.59E-1
54,Humans_abstr_112,Humans_movi_110,2.41E-1
55,Humans_abstr_112,Humans_movi_111,4.86E-1
56,Humans_abstr_112,Humans_movi_112,1.22E-1
57,Humans_abstr_112,Humans_movi_113,4.22E-1
58,Humans_abstr_112,Humans_movi_114,4.68E-1
59,Humans_abstr_112,Humans_movi_115,1.52E-1
60,Humans_abstr_112,Machines_base_Centroid,1.11E-8
61,Humans_abstr_112,Machines_base_FreqSum,1.94E-9
62,Humans_abstr_112,Machines_base_GreedyKL,1.49E-9
63,Humans_abstr_112,Machines_base_LexRank,7.30E-8
64,Humans_abstr_112,Machines_base_TsSum,1.05E-8
65,Humans_abstr_112,Machines_soa_CLASSY04,9.86E-9
66,Humans_abstr_112,Machines_soa_CLASSY11,3.00E-8
67,Humans_abstr_112,Machines_soa_DPP,2.26E-9
68,Humans_abstr_112,Machines_soa_ICSISumm,1.03E-8
69,Humans_abstr_112,Machines_soa_OCCAMS_V,9.88E-7
70,Humans_abstr_112,Machines_soa_RegSum,5.38E-9
71,Humans_abstr_112,Machines_soa_Submodular,9.97E-7
75,Humans_abstr_113,Humans_abstr_114,8.94E-2
76,Humans_abstr_113,Humans_abstr_115,1.90E-1
77,Humans_abstr_113,Humans_duc_A,9.73E-9
78,Humans_abstr_113,Humans_duc_B,4.50E-2
79,Humans_abstr_113,Humans_duc_C,1.53E-1
80,Humans_abstr_113,Humans_duc_D,3.83E-1
81,Humans_abstr_113,Humans_duc_E,2.36E-1
82,Humans_abstr_113,Humans_duc_F,1.05E-2
83,Humans_abstr_113,Humans_duc_G,2.59E-5
84,Humans_abstr_113,Humans_duc_H,8.32E-3
85,Humans_abstr_113,Humans_movi_101,3.30E-1
86,Humans_abstr_113,Humans_movi_102,1.49E-1
87,Humans_abstr_113,Humans_movi_103,2.16E-1
88,Humans_abstr_113,Humans_movi_104,4.24E-1
89,Humans_abstr_113,Humans_movi_105,3.75E-1
90,Humans_abstr_113,Humans_movi_110,3.58E-1
