,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,4.84E-1
2,Humans_abstr_110,Humans_abstr_113,2.74E-1
3,Humans_abstr_110,Humans_abstr_114,2.85E-1
4,Humans_abstr_110,Humans_abstr_115,3.20E-1
5,Humans_abstr_110,Humans_duc_A,2.12E-1
6,Humans_abstr_110,Humans_duc_B,1.30E-1
7,Humans_abstr_110,Humans_duc_C,1.22E-3
8,Humans_abstr_110,Humans_duc_D,8.56E-2
9,Humans_abstr_110,Humans_duc_E,1.97E-1
10,Humans_abstr_110,Humans_duc_F,2.47E-3
11,Humans_abstr_110,Humans_duc_G,2.42E-3
12,Humans_abstr_110,Humans_duc_H,4.64E-1
13,Humans_abstr_110,Humans_movi_101,3.16E-1
14,Humans_abstr_110,Humans_movi_102,2.82E-1
15,Humans_abstr_110,Humans_movi_103,1.38E-1
16,Humans_abstr_110,Humans_movi_104,1.88E-1
17,Humans_abstr_110,Humans_movi_105,3.94E-2
18,Humans_abstr_110,Humans_movi_110,1.68E-1
19,Humans_abstr_110,Humans_movi_111,3.37E-2
20,Humans_abstr_110,Humans_movi_112,3.64E-2
21,Humans_abstr_110,Humans_movi_113,2.41E-1
22,Humans_abstr_110,Humans_movi_114,3.09E-3
23,Humans_abstr_110,Humans_movi_115,1.38E-1
24,Humans_abstr_110,Machines_base_Centroid,4.68E-1
25,Humans_abstr_110,Machines_base_FreqSum,1.21E-2
26,Humans_abstr_110,Machines_base_GreedyKL,3.31E-1
27,Humans_abstr_110,Machines_base_LexRank,2.76E-1
28,Humans_abstr_110,Machines_base_TsSum,3.25E-1
29,Humans_abstr_110,Machines_soa_CLASSY04,2.34E-2
30,Humans_abstr_110,Machines_soa_CLASSY11,1.24E-2
31,Humans_abstr_110,Machines_soa_DPP,1.04E-2
32,Humans_abstr_110,Machines_soa_ICSISumm,3.76E-3
33,Humans_abstr_110,Machines_soa_OCCAMS_V,8.25E-4
34,Humans_abstr_110,Machines_soa_RegSum,1.79E-1
35,Humans_abstr_110,Machines_soa_Submodular,2.92E-1
38,Humans_abstr_112,Humans_abstr_113,2.07E-1
39,Humans_abstr_112,Humans_abstr_114,2.47E-1
40,Humans_abstr_112,Humans_abstr_115,3.42E-1
41,Humans_abstr_112,Humans_duc_A,1.83E-1
42,Humans_abstr_112,Humans_duc_B,8.69E-2
43,Humans_abstr_112,Humans_duc_C,1.31E-3
44,Humans_abstr_112,Humans_duc_D,9.44E-2
45,Humans_abstr_112,Humans_duc_E,2.06E-1
46,Humans_abstr_112,Humans_duc_F,2.37E-3
47,Humans_abstr_112,Humans_duc_G,1.19E-3
48,Humans_abstr_112,Humans_duc_H,3.87E-1
49,Humans_abstr_112,Humans_movi_101,3.57E-1
50,Humans_abstr_112,Humans_movi_102,2.44E-1
51,Humans_abstr_112,Humans_movi_103,1.23E-1
52,Humans_abstr_112,Humans_movi_104,1.94E-1
53,Humans_abstr_112,Humans_movi_105,3.02E-2
54,Humans_abstr_112,Humans_movi_110,1.87E-1
55,Humans_abstr_112,Humans_movi_111,4.34E-2
56,Humans_abstr_112,Humans_movi_112,3.66E-2
57,Humans_abstr_112,Humans_movi_113,1.96E-1
58,Humans_abstr_112,Humans_movi_114,2.14E-3
59,Humans_abstr_112,Humans_movi_115,1.50E-1
60,Humans_abstr_112,Machines_base_Centroid,4.96E-1
61,Humans_abstr_112,Machines_base_FreqSum,1.01E-2
62,Humans_abstr_112,Machines_base_GreedyKL,3.21E-1
63,Humans_abstr_112,Machines_base_LexRank,3.21E-1
64,Humans_abstr_112,Machines_base_TsSum,3.00E-1
65,Humans_abstr_112,Machines_soa_CLASSY04,2.10E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,1.84E-2
67,Humans_abstr_112,Machines_soa_DPP,1.10E-2
68,Humans_abstr_112,Machines_soa_ICSISumm,3.14E-3
69,Humans_abstr_112,Machines_soa_OCCAMS_V,8.56E-4
70,Humans_abstr_112,Machines_soa_RegSum,1.59E-1
71,Humans_abstr_112,Machines_soa_Submodular,2.83E-1
75,Humans_abstr_113,Humans_abstr_114,4.21E-1
76,Humans_abstr_113,Humans_abstr_115,1.06E-1
77,Humans_abstr_113,Humans_duc_A,6.12E-2
78,Humans_abstr_113,Humans_duc_B,3.47E-1
79,Humans_abstr_113,Humans_duc_C,7.04E-3
80,Humans_abstr_113,Humans_duc_D,1.41E-2
81,Humans_abstr_113,Humans_duc_E,4.33E-2
82,Humans_abstr_113,Humans_duc_F,8.74E-5
83,Humans_abstr_113,Humans_duc_G,1.39E-4
84,Humans_abstr_113,Humans_duc_H,2.32E-1
85,Humans_abstr_113,Humans_movi_101,1.24E-1
86,Humans_abstr_113,Humans_movi_102,4.92E-1
87,Humans_abstr_113,Humans_movi_103,3.35E-2
88,Humans_abstr_113,Humans_movi_104,3.03E-2
89,Humans_abstr_113,Humans_movi_105,6.75E-3
90,Humans_abstr_113,Humans_movi_110,2.95E-2
91,Humans_abstr_113,Humans_movi_111,2.34E-3
92,Humans_abstr_113,Humans_movi_112,5.62E-3
93,Humans_abstr_113,Humans_movi_113,8.88E-2
94,Humans_abstr_113,Humans_movi_114,1.16E-4
95,Humans_abstr_113,Humans_movi_115,2.57E-2
96,Humans_abstr_113,Machines_base_Centroid,2.12E-1
97,Humans_abstr_113,Machines_base_FreqSum,4.79E-2
98,Humans_abstr_113,Machines_base_GreedyKL,1.00E-1
99,Humans_abstr_113,Machines_base_LexRank,1.08E-1
100,Humans_abstr_113,Machines_base_TsSum,3.64E-1
101,Humans_abstr_113,Machines_soa_CLASSY04,6.58E-2
102,Humans_abstr_113,Machines_soa_CLASSY11,3.65E-2
103,Humans_abstr_113,Machines_soa_DPP,2.59E-2
104,Humans_abstr_113,Machines_soa_ICSISumm,1.47E-2
105,Humans_abstr_113,Machines_soa_OCCAMS_V,3.36E-3
106,Humans_abstr_113,Machines_soa_RegSum,3.93E-1
107,Humans_abstr_113,Machines_soa_Submodular,4.96E-1
112,Humans_abstr_114,Humans_abstr_115,1.40E-1
113,Humans_abstr_114,Humans_duc_A,4.81E-2
114,Humans_abstr_114,Humans_duc_B,2.53E-1
115,Humans_abstr_114,Humans_duc_C,1.22E-2
116,Humans_abstr_114,Humans_duc_D,2.30E-2
117,Humans_abstr_114,Humans_duc_E,6.93E-2
118,Humans_abstr_114,Humans_duc_F,2.50E-4
119,Humans_abstr_114,Humans_duc_G,1.87E-4
120,Humans_abstr_114,Humans_duc_H,3.60E-1
121,Humans_abstr_114,Humans_movi_101,1.38E-1
122,Humans_abstr_114,Humans_movi_102,4.72E-1
123,Humans_abstr_114,Humans_movi_103,3.90E-2
124,Humans_abstr_114,Humans_movi_104,5.72E-2
125,Humans_abstr_114,Humans_movi_105,6.10E-3
126,Humans_abstr_114,Humans_movi_110,6.74E-2
127,Humans_abstr_114,Humans_movi_111,1.01E-2
128,Humans_abstr_114,Humans_movi_112,8.82E-3
129,Humans_abstr_114,Humans_movi_113,6.24E-2
130,Humans_abstr_114,Humans_movi_114,3.60E-4
131,Humans_abstr_114,Humans_movi_115,4.64E-2
132,Humans_abstr_114,Machines_base_Centroid,2.54E-1
133,Humans_abstr_114,Machines_base_FreqSum,5.42E-2
134,Humans_abstr_114,Machines_base_GreedyKL,1.30E-1
135,Humans_abstr_114,Machines_base_LexRank,1.45E-1
136,Humans_abstr_114,Machines_base_TsSum,4.29E-1
137,Humans_abstr_114,Machines_soa_CLASSY04,9.22E-2
138,Humans_abstr_114,Machines_soa_CLASSY11,8.57E-2
139,Humans_abstr_114,Machines_soa_DPP,6.26E-2
140,Humans_abstr_114,Machines_soa_ICSISumm,2.39E-2
141,Humans_abstr_114,Machines_soa_OCCAMS_V,7.73E-3
142,Humans_abstr_114,Machines_soa_RegSum,3.99E-1
143,Humans_abstr_114,Machines_soa_Submodular,4.49E-1
149,Humans_abstr_115,Humans_duc_A,2.80E-1
150,Humans_abstr_115,Humans_duc_B,3.70E-2
151,Humans_abstr_115,Humans_duc_C,4.02E-4
152,Humans_abstr_115,Humans_duc_D,1.79E-1
153,Humans_abstr_115,Humans_duc_E,3.32E-1
154,Humans_abstr_115,Humans_duc_F,6.35E-3
155,Humans_abstr_115,Humans_duc_G,3.33E-3
156,Humans_abstr_115,Humans_duc_H,2.43E-1
157,Humans_abstr_115,Humans_movi_101,4.96E-1
158,Humans_abstr_115,Humans_movi_102,1.36E-1
159,Humans_abstr_115,Humans_movi_103,2.12E-1
160,Humans_abstr_115,Humans_movi_104,3.24E-1
161,Humans_abstr_115,Humans_movi_105,6.12E-2
162,Humans_abstr_115,Humans_movi_110,3.14E-1
163,Humans_abstr_115,Humans_movi_111,9.05E-2
164,Humans_abstr_115,Humans_movi_112,7.11E-2
165,Humans_abstr_115,Humans_movi_113,3.08E-1
166,Humans_abstr_115,Humans_movi_114,5.68E-3
167,Humans_abstr_115,Humans_movi_115,2.60E-1
168,Humans_abstr_115,Machines_base_Centroid,3.57E-1
169,Humans_abstr_115,Machines_base_FreqSum,3.10E-3
170,Humans_abstr_115,Machines_base_GreedyKL,4.69E-1
171,Humans_abstr_115,Machines_base_LexRank,4.61E-1
172,Humans_abstr_115,Machines_base_TsSum,1.82E-1
173,Humans_abstr_115,Machines_soa_CLASSY04,7.32E-3
174,Humans_abstr_115,Machines_soa_CLASSY11,8.15E-3
175,Humans_abstr_115,Machines_soa_DPP,3.00E-3
176,Humans_abstr_115,Machines_soa_ICSISumm,9.48E-4
177,Humans_abstr_115,Machines_soa_OCCAMS_V,2.33E-4
178,Humans_abstr_115,Machines_soa_RegSum,8.65E-2
179,Humans_abstr_115,Machines_soa_Submodular,1.66E-1
186,Humans_duc_A,Humans_duc_B,1.13E-2
187,Humans_duc_A,Humans_duc_C,3.99E-4
188,Humans_duc_A,Humans_duc_D,4.33E-1
189,Humans_duc_A,Humans_duc_E,4.45E-1
190,Humans_duc_A,Humans_duc_F,6.54E-2
191,Humans_duc_A,Humans_duc_G,1.15E-2
192,Humans_duc_A,Humans_duc_H,1.02E-1
193,Humans_duc_A,Humans_movi_101,2.59E-1
194,Humans_duc_A,Humans_movi_102,8.10E-2
195,Humans_duc_A,Humans_movi_103,3.65E-1
196,Humans_duc_A,Humans_movi_104,3.95E-1
197,Humans_duc_A,Humans_movi_105,1.41E-1
198,Humans_duc_A,Humans_movi_110,4.57E-1
199,Humans_duc_A,Humans_movi_111,3.25E-1
200,Humans_duc_A,Humans_movi_112,1.93E-1
201,Humans_duc_A,Humans_movi_113,4.10E-1
202,Humans_duc_A,Humans_movi_114,2.57E-2
203,Humans_duc_A,Humans_movi_115,5.00E-1
204,Humans_duc_A,Machines_base_Centroid,1.85E-1
205,Humans_duc_A,Machines_base_FreqSum,2.60E-3
206,Humans_duc_A,Machines_base_GreedyKL,3.54E-1
207,Humans_duc_A,Machines_base_LexRank,3.50E-1
208,Humans_duc_A,Machines_base_TsSum,7.66E-2
209,Humans_duc_A,Machines_soa_CLASSY04,6.34E-3
210,Humans_duc_A,Machines_soa_CLASSY11,1.11E-2
211,Humans_duc_A,Machines_soa_DPP,4.36E-3
212,Humans_duc_A,Machines_soa_ICSISumm,9.60E-4
213,Humans_duc_A,Machines_soa_OCCAMS_V,4.31E-4
214,Humans_duc_A,Machines_soa_RegSum,3.91E-2
215,Humans_duc_A,Machines_soa_Submodular,9.79E-2
223,Humans_duc_B,Humans_duc_C,2.60E-2
224,Humans_duc_B,Humans_duc_D,2.64E-3
225,Humans_duc_B,Humans_duc_E,1.28E-2
226,Humans_duc_B,Humans_duc_F,6.79E-6
227,Humans_duc_B,Humans_duc_G,1.16E-5
228,Humans_duc_B,Humans_duc_H,1.29E-1
229,Humans_duc_B,Humans_movi_101,3.77E-2
230,Humans_duc_B,Humans_movi_102,3.16E-1
231,Humans_duc_B,Humans_movi_103,8.68E-3
232,Humans_duc_B,Humans_movi_104,7.69E-3
233,Humans_duc_B,Humans_movi_105,9.30E-4
234,Humans_duc_B,Humans_movi_110,1.04E-2
235,Humans_duc_B,Humans_movi_111,6.07E-4
236,Humans_duc_B,Humans_movi_112,1.16E-3
237,Humans_duc_B,Humans_movi_113,2.01E-2
238,Humans_duc_B,Humans_movi_114,1.68E-5
239,Humans_duc_B,Humans_movi_115,7.15E-3
240,Humans_duc_B,Machines_base_Centroid,9.48E-2
241,Humans_duc_B,Machines_base_FreqSum,1.20E-1
242,Humans_duc_B,Machines_base_GreedyKL,3.58E-2
243,Humans_duc_B,Machines_base_LexRank,4.41E-2
244,Humans_duc_B,Machines_base_TsSum,1.97E-1
245,Humans_duc_B,Machines_soa_CLASSY04,1.69E-1
246,Humans_duc_B,Machines_soa_CLASSY11,1.22E-1
247,Humans_duc_B,Machines_soa_DPP,1.04E-1
248,Humans_duc_B,Machines_soa_ICSISumm,4.94E-2
249,Humans_duc_B,Machines_soa_OCCAMS_V,1.43E-2
250,Humans_duc_B,Machines_soa_RegSum,3.94E-1
251,Humans_duc_B,Machines_soa_Submodular,2.62E-1
260,Humans_duc_C,Humans_duc_D,2.55E-5
261,Humans_duc_C,Humans_duc_E,1.97E-4
262,Humans_duc_C,Humans_duc_F,2.72E-7
263,Humans_duc_C,Humans_duc_G,4.19E-7
264,Humans_duc_C,Humans_duc_H,3.05E-3
265,Humans_duc_C,Humans_movi_101,3.70E-4
266,Humans_duc_C,Humans_movi_102,1.01E-2
267,Humans_duc_C,Humans_movi_103,1.39E-4
268,Humans_duc_C,Humans_movi_104,1.29E-4
269,Humans_duc_C,Humans_movi_105,1.54E-5
270,Humans_duc_C,Humans_movi_110,1.65E-4
271,Humans_duc_C,Humans_movi_111,1.11E-5
272,Humans_duc_C,Humans_movi_112,1.78E-5
273,Humans_duc_C,Humans_movi_113,2.89E-4
274,Humans_duc_C,Humans_movi_114,8.29E-7
275,Humans_duc_C,Humans_movi_115,8.82E-5
276,Humans_duc_C,Machines_base_Centroid,2.35E-3
277,Humans_duc_C,Machines_base_FreqSum,1.48E-1
278,Humans_duc_C,Machines_base_GreedyKL,7.02E-4
279,Humans_duc_C,Machines_base_LexRank,7.63E-4
280,Humans_duc_C,Machines_base_TsSum,8.67E-3
281,Humans_duc_C,Machines_soa_CLASSY04,1.02E-1
282,Humans_duc_C,Machines_soa_CLASSY11,2.63E-1
283,Humans_duc_C,Machines_soa_DPP,7.43E-2
284,Humans_duc_C,Machines_soa_ICSISumm,2.95E-1
285,Humans_duc_C,Machines_soa_OCCAMS_V,4.96E-1
286,Humans_duc_C,Machines_soa_RegSum,2.45E-2
287,Humans_duc_C,Machines_soa_Submodular,6.05E-3
297,Humans_duc_D,Humans_duc_E,3.46E-1
298,Humans_duc_D,Humans_duc_F,4.97E-2
299,Humans_duc_D,Humans_duc_G,1.55E-2
300,Humans_duc_D,Humans_duc_H,5.11E-2
301,Humans_duc_D,Humans_movi_101,1.60E-1
302,Humans_duc_D,Humans_movi_102,2.51E-2
303,Humans_duc_D,Humans_movi_103,4.76E-1
304,Humans_duc_D,Humans_movi_104,3.35E-1
305,Humans_duc_D,Humans_movi_105,1.98E-1
306,Humans_duc_D,Humans_movi_110,3.68E-1
307,Humans_duc_D,Humans_movi_111,3.31E-1
308,Humans_duc_D,Humans_movi_112,2.45E-1
309,Humans_duc_D,Humans_movi_113,4.26E-1
310,Humans_duc_D,Humans_movi_114,2.72E-2
311,Humans_duc_D,Humans_movi_115,4.18E-1
312,Humans_duc_D,Machines_base_Centroid,1.07E-1
313,Humans_duc_D,Machines_base_FreqSum,1.67E-4
314,Humans_duc_D,Machines_base_GreedyKL,2.42E-1
