,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.49E-1
2,Humans_abstr_110,Humans_abstr_113,2.57E-1
3,Humans_abstr_110,Humans_abstr_114,6.01E-2
4,Humans_abstr_110,Humans_abstr_115,4.61E-1
5,Humans_abstr_110,Humans_duc_A,4.27E-1
6,Humans_abstr_110,Humans_duc_B,3.57E-9
7,Humans_abstr_110,Humans_duc_C,2.16E-1
8,Humans_abstr_110,Humans_duc_D,4.93E-4
9,Humans_abstr_110,Humans_duc_E,1.51E-4
10,Humans_abstr_110,Humans_duc_F,5.53E-9
11,Humans_abstr_110,Humans_duc_G,1.69E-7
12,Humans_abstr_110,Humans_duc_H,8.22E-2
13,Humans_abstr_110,Humans_movi_101,4.84E-1
14,Humans_abstr_110,Humans_movi_102,4.69E-1
15,Humans_abstr_110,Humans_movi_103,6.09E-3
16,Humans_abstr_110,Humans_movi_104,2.84E-2
17,Humans_abstr_110,Humans_movi_105,1.34E-1
18,Humans_abstr_110,Humans_movi_110,1.20E-1
19,Humans_abstr_110,Humans_movi_111,4.70E-2
20,Humans_abstr_110,Humans_movi_112,3.78E-1
21,Humans_abstr_110,Humans_movi_113,1.94E-3
22,Humans_abstr_110,Humans_movi_114,7.25E-2
23,Humans_abstr_110,Humans_movi_115,4.46E-1
24,Humans_abstr_110,Machines_base_Centroid,4.25E-9
25,Humans_abstr_110,Machines_base_FreqSum,5.78E-3
26,Humans_abstr_110,Machines_base_GreedyKL,1.53E-8
27,Humans_abstr_110,Machines_base_LexRank,2.64E-3
28,Humans_abstr_110,Machines_base_TsSum,1.61E-1
29,Humans_abstr_110,Machines_soa_CLASSY04,1.17E-4
30,Humans_abstr_110,Machines_soa_CLASSY11,1.10E-3
31,Humans_abstr_110,Machines_soa_DPP,1.03E-1
32,Humans_abstr_110,Machines_soa_ICSISumm,1.78E-1
33,Humans_abstr_110,Machines_soa_OCCAMS_V,3.83E-4
34,Humans_abstr_110,Machines_soa_RegSum,3.42E-1
35,Humans_abstr_110,Machines_soa_Submodular,1.52E-3
38,Humans_abstr_112,Humans_abstr_113,5.77E-2
39,Humans_abstr_112,Humans_abstr_114,2.83E-1
40,Humans_abstr_112,Humans_abstr_115,1.81E-1
41,Humans_abstr_112,Humans_duc_A,1.51E-1
42,Humans_abstr_112,Humans_duc_B,6.40E-9
43,Humans_abstr_112,Humans_duc_C,4.77E-1
44,Humans_abstr_112,Humans_duc_D,9.99E-5
45,Humans_abstr_112,Humans_duc_E,2.80E-5
46,Humans_abstr_112,Humans_duc_F,5.98E-9
47,Humans_abstr_112,Humans_duc_G,1.03E-7
48,Humans_abstr_112,Humans_duc_H,3.61E-2
49,Humans_abstr_112,Humans_movi_101,1.96E-1
50,Humans_abstr_112,Humans_movi_102,2.24E-1
51,Humans_abstr_112,Humans_movi_103,1.22E-3
52,Humans_abstr_112,Humans_movi_104,6.82E-3
53,Humans_abstr_112,Humans_movi_105,3.24E-2
54,Humans_abstr_112,Humans_movi_110,2.38E-2
55,Humans_abstr_112,Humans_movi_111,1.18E-2
56,Humans_abstr_112,Humans_movi_112,3.63E-1
57,Humans_abstr_112,Humans_movi_113,4.31E-4
58,Humans_abstr_112,Humans_movi_114,2.22E-2
59,Humans_abstr_112,Humans_movi_115,3.03E-1
60,Humans_abstr_112,Machines_base_Centroid,4.88E-8
61,Humans_abstr_112,Machines_base_FreqSum,1.19E-3
62,Humans_abstr_112,Machines_base_GreedyKL,5.62E-7
63,Humans_abstr_112,Machines_base_LexRank,2.79E-2
64,Humans_abstr_112,Machines_base_TsSum,4.55E-2
65,Humans_abstr_112,Machines_soa_CLASSY04,3.24E-3
66,Humans_abstr_112,Machines_soa_CLASSY11,1.31E-2
67,Humans_abstr_112,Machines_soa_DPP,4.34E-1
68,Humans_abstr_112,Machines_soa_ICSISumm,4.84E-1
69,Humans_abstr_112,Machines_soa_OCCAMS_V,1.07E-4
70,Humans_abstr_112,Machines_soa_RegSum,2.74E-1
71,Humans_abstr_112,Machines_soa_Submodular,1.75E-2
75,Humans_abstr_113,Humans_abstr_114,5.89E-2
76,Humans_abstr_113,Humans_abstr_115,3.52E-1
77,Humans_abstr_113,Humans_duc_A,4.42E-1
78,Humans_abstr_113,Humans_duc_B,1.89E-9
79,Humans_abstr_113,Humans_duc_C,1.99E-1
80,Humans_abstr_113,Humans_duc_D,1.18E-3
81,Humans_abstr_113,Humans_duc_E,2.93E-4
82,Humans_abstr_113,Humans_duc_F,4.96E-9
83,Humans_abstr_113,Humans_duc_G,8.69E-8
84,Humans_abstr_113,Humans_duc_H,9.48E-2
85,Humans_abstr_113,Humans_movi_101,3.17E-1
86,Humans_abstr_113,Humans_movi_102,3.67E-1
87,Humans_abstr_113,Humans_movi_103,9.86E-3
88,Humans_abstr_113,Humans_movi_104,4.02E-2
89,Humans_abstr_113,Humans_movi_105,1.56E-1
90,Humans_abstr_113,Humans_movi_110,1.88E-1
91,Humans_abstr_113,Humans_movi_111,9.12E-2
92,Humans_abstr_113,Humans_movi_112,2.67E-1
93,Humans_abstr_113,Humans_movi_113,3.98E-3
94,Humans_abstr_113,Humans_movi_114,1.61E-1
95,Humans_abstr_113,Humans_movi_115,4.61E-1
96,Humans_abstr_113,Machines_base_Centroid,1.40E-8
97,Humans_abstr_113,Machines_base_FreqSum,1.27E-2
98,Humans_abstr_113,Machines_base_GreedyKL,1.01E-7
99,Humans_abstr_113,Machines_base_LexRank,1.14E-3
100,Humans_abstr_113,Machines_base_TsSum,2.13E-1
101,Humans_abstr_113,Machines_soa_CLASSY04,5.48E-5
102,Humans_abstr_113,Machines_soa_CLASSY11,1.18E-3
103,Humans_abstr_113,Machines_soa_DPP,4.44E-2
104,Humans_abstr_113,Machines_soa_ICSISumm,1.03E-1
105,Humans_abstr_113,Machines_soa_OCCAMS_V,7.34E-4
106,Humans_abstr_113,Machines_soa_RegSum,1.80E-1
107,Humans_abstr_113,Machines_soa_Submodular,1.34E-3
112,Humans_abstr_114,Humans_abstr_115,6.86E-2
113,Humans_abstr_114,Humans_duc_A,7.53E-2
114,Humans_abstr_114,Humans_duc_B,3.04E-8
115,Humans_abstr_114,Humans_duc_C,1.22E-1
116,Humans_abstr_114,Humans_duc_D,1.52E-4
117,Humans_abstr_114,Humans_duc_E,6.83E-5
118,Humans_abstr_114,Humans_duc_F,6.36E-9
119,Humans_abstr_114,Humans_duc_G,4.99E-7
120,Humans_abstr_114,Humans_duc_H,1.12E-2
121,Humans_abstr_114,Humans_movi_101,1.38E-1
122,Humans_abstr_114,Humans_movi_102,1.86E-1
123,Humans_abstr_114,Humans_movi_103,2.09E-3
124,Humans_abstr_114,Humans_movi_104,2.74E-3
125,Humans_abstr_114,Humans_movi_105,1.24E-2
126,Humans_abstr_114,Humans_movi_110,2.27E-2
127,Humans_abstr_114,Humans_movi_111,5.78E-3
128,Humans_abstr_114,Humans_movi_112,2.77E-1
129,Humans_abstr_114,Humans_movi_113,4.78E-4
130,Humans_abstr_114,Humans_movi_114,1.44E-2
131,Humans_abstr_114,Humans_movi_115,2.04E-1
132,Humans_abstr_114,Machines_base_Centroid,1.07E-6
133,Humans_abstr_114,Machines_base_FreqSum,8.58E-4
134,Humans_abstr_114,Machines_base_GreedyKL,3.09E-5
135,Humans_abstr_114,Machines_base_LexRank,1.34E-1
136,Humans_abstr_114,Machines_base_TsSum,3.47E-2
137,Humans_abstr_114,Machines_soa_CLASSY04,5.33E-2
138,Humans_abstr_114,Machines_soa_CLASSY11,7.80E-2
139,Humans_abstr_114,Machines_soa_DPP,3.60E-1
140,Humans_abstr_114,Machines_soa_ICSISumm,3.07E-1
141,Humans_abstr_114,Machines_soa_OCCAMS_V,2.78E-5
142,Humans_abstr_114,Machines_soa_RegSum,1.78E-1
143,Humans_abstr_114,Machines_soa_Submodular,1.32E-1
149,Humans_abstr_115,Humans_duc_A,4.19E-1
150,Humans_abstr_115,Humans_duc_B,1.42E-9
