,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,9.80E-2
2,Humans_abstr_110,Humans_abstr_113,2.94E-1
3,Humans_abstr_110,Humans_abstr_114,1.07E-1
4,Humans_abstr_110,Humans_abstr_115,2.84E-1
5,Humans_abstr_110,Humans_duc_A,3.23E-1
6,Humans_abstr_110,Humans_duc_B,8.07E-8
7,Humans_abstr_110,Humans_duc_C,2.61E-1
8,Humans_abstr_110,Humans_duc_D,1.78E-2
9,Humans_abstr_110,Humans_duc_E,1.05E-2
10,Humans_abstr_110,Humans_duc_F,8.90E-8
11,Humans_abstr_110,Humans_duc_G,6.92E-5
12,Humans_abstr_110,Humans_duc_H,3.54E-1
13,Humans_abstr_110,Humans_movi_101,4.29E-1
14,Humans_abstr_110,Humans_movi_102,3.37E-1
15,Humans_abstr_110,Humans_movi_103,5.20E-2
16,Humans_abstr_110,Humans_movi_104,2.98E-1
17,Humans_abstr_110,Humans_movi_105,1.99E-1
18,Humans_abstr_110,Humans_movi_110,1.91E-1
19,Humans_abstr_110,Humans_movi_111,1.30E-1
20,Humans_abstr_110,Humans_movi_112,1.29E-1
21,Humans_abstr_110,Humans_movi_113,3.15E-2
22,Humans_abstr_110,Humans_movi_114,3.80E-1
23,Humans_abstr_110,Humans_movi_115,3.04E-1
24,Humans_abstr_110,Machines_base_Centroid,4.57E-8
25,Humans_abstr_110,Machines_base_FreqSum,7.16E-2
26,Humans_abstr_110,Machines_base_GreedyKL,5.27E-7
27,Humans_abstr_110,Machines_base_LexRank,6.90E-3
28,Humans_abstr_110,Machines_base_TsSum,3.51E-1
29,Humans_abstr_110,Machines_soa_CLASSY04,4.93E-4
30,Humans_abstr_110,Machines_soa_CLASSY11,9.58E-4
31,Humans_abstr_110,Machines_soa_DPP,3.65E-2
32,Humans_abstr_110,Machines_soa_ICSISumm,1.18E-1
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.10E-2
34,Humans_abstr_110,Machines_soa_RegSum,1.63E-1
35,Humans_abstr_110,Machines_soa_Submodular,6.61E-3
38,Humans_abstr_112,Humans_abstr_113,1.77E-1
39,Humans_abstr_112,Humans_abstr_114,4.61E-1
40,Humans_abstr_112,Humans_abstr_115,1.85E-1
41,Humans_abstr_112,Humans_duc_A,1.49E-1
42,Humans_abstr_112,Humans_duc_B,2.78E-8
43,Humans_abstr_112,Humans_duc_C,2.40E-1
44,Humans_abstr_112,Humans_duc_D,3.51E-4
45,Humans_abstr_112,Humans_duc_E,3.62E-4
46,Humans_abstr_112,Humans_duc_F,2.49E-8
47,Humans_abstr_112,Humans_duc_G,1.91E-6
48,Humans_abstr_112,Humans_duc_H,5.39E-2
49,Humans_abstr_112,Humans_movi_101,6.59E-2
50,Humans_abstr_112,Humans_movi_102,1.83E-1
51,Humans_abstr_112,Humans_movi_103,2.30E-3
52,Humans_abstr_112,Humans_movi_104,4.13E-2
53,Humans_abstr_112,Humans_movi_105,2.30E-2
54,Humans_abstr_112,Humans_movi_110,1.34E-2
55,Humans_abstr_112,Humans_movi_111,7.16E-3
56,Humans_abstr_112,Humans_movi_112,3.27E-1
57,Humans_abstr_112,Humans_movi_113,1.16E-3
58,Humans_abstr_112,Humans_movi_114,6.33E-2
59,Humans_abstr_112,Humans_movi_115,2.64E-1
60,Humans_abstr_112,Machines_base_Centroid,8.08E-7
61,Humans_abstr_112,Machines_base_FreqSum,2.28E-3
62,Humans_abstr_112,Machines_base_GreedyKL,1.42E-5
63,Humans_abstr_112,Machines_base_LexRank,1.02E-1
64,Humans_abstr_112,Machines_base_TsSum,1.08E-1
65,Humans_abstr_112,Machines_soa_CLASSY04,1.30E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,1.49E-2
67,Humans_abstr_112,Machines_soa_DPP,3.51E-1
68,Humans_abstr_112,Machines_soa_ICSISumm,3.45E-1
69,Humans_abstr_112,Machines_soa_OCCAMS_V,3.38E-4
70,Humans_abstr_112,Machines_soa_RegSum,2.64E-1
71,Humans_abstr_112,Machines_soa_Submodular,7.78E-2
75,Humans_abstr_113,Humans_abstr_114,1.92E-1
76,Humans_abstr_113,Humans_abstr_115,4.84E-1
77,Humans_abstr_113,Humans_duc_A,4.72E-1
78,Humans_abstr_113,Humans_duc_B,5.09E-9
79,Humans_abstr_113,Humans_duc_C,4.32E-1
80,Humans_abstr_113,Humans_duc_D,2.30E-3
81,Humans_abstr_113,Humans_duc_E,1.27E-3
82,Humans_abstr_113,Humans_duc_F,6.48E-9
83,Humans_abstr_113,Humans_duc_G,2.78E-6
84,Humans_abstr_113,Humans_duc_H,1.58E-1
85,Humans_abstr_113,Humans_movi_101,2.28E-1
86,Humans_abstr_113,Humans_movi_102,4.17E-1
87,Humans_abstr_113,Humans_movi_103,1.13E-2
88,Humans_abstr_113,Humans_movi_104,1.21E-1
89,Humans_abstr_113,Humans_movi_105,7.60E-2
90,Humans_abstr_113,Humans_movi_110,7.02E-2
91,Humans_abstr_113,Humans_movi_111,4.02E-2
92,Humans_abstr_113,Humans_movi_112,2.67E-1
93,Humans_abstr_113,Humans_movi_113,5.64E-3
94,Humans_abstr_113,Humans_movi_114,2.31E-1
95,Humans_abstr_113,Humans_movi_115,4.88E-1
96,Humans_abstr_113,Machines_base_Centroid,2.30E-7
97,Humans_abstr_113,Machines_base_FreqSum,1.61E-2
98,Humans_abstr_113,Machines_base_GreedyKL,1.15E-6
99,Humans_abstr_113,Machines_base_LexRank,1.80E-2
100,Humans_abstr_113,Machines_base_TsSum,4.36E-1
101,Humans_abstr_113,Machines_soa_CLASSY04,9.55E-4
102,Humans_abstr_113,Machines_soa_CLASSY11,1.99E-3
103,Humans_abstr_113,Machines_soa_DPP,6.92E-2
104,Humans_abstr_113,Machines_soa_ICSISumm,2.60E-1
105,Humans_abstr_113,Machines_soa_OCCAMS_V,1.56E-3
106,Humans_abstr_113,Machines_soa_RegSum,3.11E-1
107,Humans_abstr_113,Machines_soa_Submodular,1.77E-2
112,Humans_abstr_114,Humans_abstr_115,1.92E-1
113,Humans_abstr_114,Humans_duc_A,1.67E-1
114,Humans_abstr_114,Humans_duc_B,4.19E-8
115,Humans_abstr_114,Humans_duc_C,2.32E-1
116,Humans_abstr_114,Humans_duc_D,8.56E-4
117,Humans_abstr_114,Humans_duc_E,6.77E-4
118,Humans_abstr_114,Humans_duc_F,3.77E-8
119,Humans_abstr_114,Humans_duc_G,5.89E-6
120,Humans_abstr_114,Humans_duc_H,7.47E-2
