,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.66E-1
2,Humans_abstr_110,Humans_abstr_113,4.96E-1
3,Humans_abstr_110,Humans_abstr_114,1.34E-1
4,Humans_abstr_110,Humans_abstr_115,3.73E-1
5,Humans_abstr_110,Humans_duc_A,3.73E-1
6,Humans_abstr_110,Humans_duc_B,2.11E-7
7,Humans_abstr_110,Humans_duc_C,2.25E-1
8,Humans_abstr_110,Humans_duc_D,2.16E-2
9,Humans_abstr_110,Humans_duc_E,2.43E-3
10,Humans_abstr_110,Humans_duc_F,7.17E-6
11,Humans_abstr_110,Humans_duc_G,2.98E-4
12,Humans_abstr_110,Humans_duc_H,4.10E-2
13,Humans_abstr_110,Humans_movi_101,4.22E-1
14,Humans_abstr_110,Humans_movi_102,4.26E-1
15,Humans_abstr_110,Humans_movi_103,9.44E-3
16,Humans_abstr_110,Humans_movi_104,1.24E-1
17,Humans_abstr_110,Humans_movi_105,3.73E-1
18,Humans_abstr_110,Humans_movi_110,1.10E-1
19,Humans_abstr_110,Humans_movi_111,5.45E-3
20,Humans_abstr_110,Humans_movi_112,3.24E-1
21,Humans_abstr_110,Humans_movi_113,9.45E-3
22,Humans_abstr_110,Humans_movi_114,3.12E-2
23,Humans_abstr_110,Humans_movi_115,9.75E-2
24,Humans_abstr_110,Machines_base_Centroid,6.04E-7
25,Humans_abstr_110,Machines_base_FreqSum,2.32E-3
26,Humans_abstr_110,Machines_base_GreedyKL,2.20E-5
27,Humans_abstr_110,Machines_base_LexRank,1.28E-1
28,Humans_abstr_110,Machines_base_TsSum,1.60E-2
29,Humans_abstr_110,Machines_soa_CLASSY04,6.77E-3
30,Humans_abstr_110,Machines_soa_CLASSY11,2.39E-2
31,Humans_abstr_110,Machines_soa_DPP,2.41E-1
32,Humans_abstr_110,Machines_soa_ICSISumm,2.62E-1
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.27E-3
34,Humans_abstr_110,Machines_soa_RegSum,9.49E-2
35,Humans_abstr_110,Machines_soa_Submodular,9.69E-2
38,Humans_abstr_112,Humans_abstr_113,1.93E-1
39,Humans_abstr_112,Humans_abstr_114,4.58E-1
40,Humans_abstr_112,Humans_abstr_115,1.15E-1
41,Humans_abstr_112,Humans_duc_A,1.15E-1
42,Humans_abstr_112,Humans_duc_B,1.90E-8
43,Humans_abstr_112,Humans_duc_C,4.50E-1
44,Humans_abstr_112,Humans_duc_D,1.97E-3
45,Humans_abstr_112,Humans_duc_E,1.67E-4
46,Humans_abstr_112,Humans_duc_F,6.17E-7
47,Humans_abstr_112,Humans_duc_G,1.68E-5
48,Humans_abstr_112,Humans_duc_H,6.14E-3
49,Humans_abstr_112,Humans_movi_101,1.41E-1
50,Humans_abstr_112,Humans_movi_102,2.61E-1
51,Humans_abstr_112,Humans_movi_103,1.31E-3
52,Humans_abstr_112,Humans_movi_104,2.13E-2
53,Humans_abstr_112,Humans_movi_105,1.15E-1
54,Humans_abstr_112,Humans_movi_110,2.82E-2
