,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,3.63E-1
2,Humans_abstr_110,Humans_abstr_113,3.74E-1
3,Humans_abstr_110,Humans_abstr_114,3.63E-1
4,Humans_abstr_110,Humans_abstr_115,4.82E-1
5,Humans_abstr_110,Humans_duc_A,3.03E-10
6,Humans_abstr_110,Humans_duc_B,1.73E-9
7,Humans_abstr_110,Humans_duc_C,1.71E-6
8,Humans_abstr_110,Humans_duc_D,1.02E-8
9,Humans_abstr_110,Humans_duc_E,1.73E-6
10,Humans_abstr_110,Humans_duc_F,4.17E-6
11,Humans_abstr_110,Humans_duc_G,2.66E-9
12,Humans_abstr_110,Humans_duc_H,1.52E-8
13,Humans_abstr_110,Humans_movi_101,2.68E-7
14,Humans_abstr_110,Humans_movi_102,5.03E-7
15,Humans_abstr_110,Humans_movi_103,1.18E-6
16,Humans_abstr_110,Humans_movi_104,2.50E-6
17,Humans_abstr_110,Humans_movi_105,4.01E-6
18,Humans_abstr_110,Humans_movi_110,7.02E-6
19,Humans_abstr_110,Humans_movi_111,6.64E-7
20,Humans_abstr_110,Humans_movi_112,2.76E-8
21,Humans_abstr_110,Humans_movi_113,2.25E-4
22,Humans_abstr_110,Humans_movi_114,3.31E-3
23,Humans_abstr_110,Humans_movi_115,2.49E-6
24,Humans_abstr_110,Machines_base_Centroid,3.06E-10
25,Humans_abstr_110,Machines_base_FreqSum,2.89E-10
26,Humans_abstr_110,Machines_base_GreedyKL,1.85E-10
27,Humans_abstr_110,Machines_base_LexRank,1.77E-10
28,Humans_abstr_110,Machines_base_TsSum,7.25E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,6.65E-9
30,Humans_abstr_110,Machines_soa_CLASSY11,5.39E-9
31,Humans_abstr_110,Machines_soa_DPP,3.80E-10
32,Humans_abstr_110,Machines_soa_ICSISumm,1.21E-8
33,Humans_abstr_110,Machines_soa_OCCAMS_V,2.08E-9
34,Humans_abstr_110,Machines_soa_RegSum,2.89E-10
35,Humans_abstr_110,Machines_soa_Submodular,1.28E-8
38,Humans_abstr_112,Humans_abstr_113,2.51E-1
39,Humans_abstr_112,Humans_abstr_114,4.94E-1
40,Humans_abstr_112,Humans_abstr_115,3.91E-1
41,Humans_abstr_112,Humans_duc_A,4.41E-10
42,Humans_abstr_112,Humans_duc_B,2.82E-9
43,Humans_abstr_112,Humans_duc_C,3.28E-6
44,Humans_abstr_112,Humans_duc_D,1.83E-8
45,Humans_abstr_112,Humans_duc_E,3.33E-6
46,Humans_abstr_112,Humans_duc_F,9.63E-6
47,Humans_abstr_112,Humans_duc_G,4.78E-9
48,Humans_abstr_112,Humans_duc_H,2.99E-8
49,Humans_abstr_112,Humans_movi_101,5.68E-7
50,Humans_abstr_112,Humans_movi_102,1.25E-6
51,Humans_abstr_112,Humans_movi_103,2.66E-6
52,Humans_abstr_112,Humans_movi_104,5.17E-6
53,Humans_abstr_112,Humans_movi_105,9.29E-6
54,Humans_abstr_112,Humans_movi_110,1.44E-5
55,Humans_abstr_112,Humans_movi_111,1.35E-6
56,Humans_abstr_112,Humans_movi_112,4.76E-8
57,Humans_abstr_112,Humans_movi_113,4.89E-4
58,Humans_abstr_112,Humans_movi_114,6.75E-3
59,Humans_abstr_112,Humans_movi_115,5.17E-6
60,Humans_abstr_112,Machines_base_Centroid,4.45E-10
61,Humans_abstr_112,Machines_base_FreqSum,4.20E-10
62,Humans_abstr_112,Machines_base_GreedyKL,2.41E-10
63,Humans_abstr_112,Machines_base_LexRank,2.32E-10
64,Humans_abstr_112,Machines_base_TsSum,9.58E-10
65,Humans_abstr_112,Machines_soa_CLASSY04,1.09E-8
66,Humans_abstr_112,Machines_soa_CLASSY11,8.40E-9
67,Humans_abstr_112,Machines_soa_DPP,5.82E-10
68,Humans_abstr_112,Machines_soa_ICSISumm,2.28E-8
69,Humans_abstr_112,Machines_soa_OCCAMS_V,3.57E-9
70,Humans_abstr_112,Machines_soa_RegSum,4.20E-10
71,Humans_abstr_112,Machines_soa_Submodular,2.40E-8
75,Humans_abstr_113,Humans_abstr_114,2.51E-1
76,Humans_abstr_113,Humans_abstr_115,3.62E-1
77,Humans_abstr_113,Humans_duc_A,5.24E-10
78,Humans_abstr_113,Humans_duc_B,4.14E-9
79,Humans_abstr_113,Humans_duc_C,2.13E-6
80,Humans_abstr_113,Humans_duc_D,1.67E-8
81,Humans_abstr_113,Humans_duc_E,1.97E-6
82,Humans_abstr_113,Humans_duc_F,4.33E-6
83,Humans_abstr_113,Humans_duc_G,7.17E-9
84,Humans_abstr_113,Humans_duc_H,3.67E-8
85,Humans_abstr_113,Humans_movi_101,3.29E-7
86,Humans_abstr_113,Humans_movi_102,6.99E-7
87,Humans_abstr_113,Humans_movi_103,1.69E-6
88,Humans_abstr_113,Humans_movi_104,3.05E-6
89,Humans_abstr_113,Humans_movi_105,5.92E-6
90,Humans_abstr_113,Humans_movi_110,8.41E-6
91,Humans_abstr_113,Humans_movi_111,1.32E-6
92,Humans_abstr_113,Humans_movi_112,6.98E-8
93,Humans_abstr_113,Humans_movi_113,2.04E-4
94,Humans_abstr_113,Humans_movi_114,2.33E-3
95,Humans_abstr_113,Humans_movi_115,3.20E-6
96,Humans_abstr_113,Machines_base_Centroid,5.28E-10
97,Humans_abstr_113,Machines_base_FreqSum,3.04E-10
98,Humans_abstr_113,Machines_base_GreedyKL,2.61E-10
99,Humans_abstr_113,Machines_base_LexRank,5.40E-10
100,Humans_abstr_113,Machines_base_TsSum,9.94E-10
101,Humans_abstr_113,Machines_soa_CLASSY04,1.63E-8
102,Humans_abstr_113,Machines_soa_CLASSY11,8.57E-9
103,Humans_abstr_113,Machines_soa_DPP,8.07E-10
104,Humans_abstr_113,Machines_soa_ICSISumm,3.19E-8
105,Humans_abstr_113,Machines_soa_OCCAMS_V,3.02E-9
106,Humans_abstr_113,Machines_soa_RegSum,4.92E-10
107,Humans_abstr_113,Machines_soa_Submodular,2.73E-8
112,Humans_abstr_114,Humans_abstr_115,3.91E-1
113,Humans_abstr_114,Humans_duc_A,4.41E-10
114,Humans_abstr_114,Humans_duc_B,2.82E-9
115,Humans_abstr_114,Humans_duc_C,3.28E-6
116,Humans_abstr_114,Humans_duc_D,1.83E-8
117,Humans_abstr_114,Humans_duc_E,3.33E-6
118,Humans_abstr_114,Humans_duc_F,9.63E-6
119,Humans_abstr_114,Humans_duc_G,4.78E-9
120,Humans_abstr_114,Humans_duc_H,2.99E-8
121,Humans_abstr_114,Humans_movi_101,5.68E-7
122,Humans_abstr_114,Humans_movi_102,1.25E-6
123,Humans_abstr_114,Humans_movi_103,2.66E-6
124,Humans_abstr_114,Humans_movi_104,5.17E-6
125,Humans_abstr_114,Humans_movi_105,9.29E-6
126,Humans_abstr_114,Humans_movi_110,1.44E-5
127,Humans_abstr_114,Humans_movi_111,1.35E-6
128,Humans_abstr_114,Humans_movi_112,4.76E-8
129,Humans_abstr_114,Humans_movi_113,4.89E-4
130,Humans_abstr_114,Humans_movi_114,6.75E-3
131,Humans_abstr_114,Humans_movi_115,5.17E-6
132,Humans_abstr_114,Machines_base_Centroid,4.45E-10
133,Humans_abstr_114,Machines_base_FreqSum,4.20E-10
134,Humans_abstr_114,Machines_base_GreedyKL,2.41E-10
135,Humans_abstr_114,Machines_base_LexRank,2.32E-10
136,Humans_abstr_114,Machines_base_TsSum,9.58E-10
137,Humans_abstr_114,Machines_soa_CLASSY04,1.09E-8
138,Humans_abstr_114,Machines_soa_CLASSY11,8.40E-9
139,Humans_abstr_114,Machines_soa_DPP,5.82E-10
140,Humans_abstr_114,Machines_soa_ICSISumm,2.28E-8
