,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,6.37E-2
2,Humans_abstr_110,Humans_abstr_113,1.02E-1
3,Humans_abstr_110,Humans_abstr_114,1.12E-2
4,Humans_abstr_110,Humans_abstr_115,2.01E-1
5,Humans_abstr_110,Humans_duc_A,3.63E-2
6,Humans_abstr_110,Humans_duc_B,5.83E-3
7,Humans_abstr_110,Humans_duc_C,4.00E-2
8,Humans_abstr_110,Humans_duc_D,5.42E-2
9,Humans_abstr_110,Humans_duc_E,4.08E-2
10,Humans_abstr_110,Humans_duc_F,4.17E-7
11,Humans_abstr_110,Humans_duc_G,5.40E-5
12,Humans_abstr_110,Humans_duc_H,5.52E-2
13,Humans_abstr_110,Humans_movi_101,1.28E-1
14,Humans_abstr_110,Humans_movi_102,1.55E-1
15,Humans_abstr_110,Humans_movi_103,7.19E-2
16,Humans_abstr_110,Humans_movi_104,1.49E-2
17,Humans_abstr_110,Humans_movi_105,4.73E-2
18,Humans_abstr_110,Humans_movi_110,4.45E-1
19,Humans_abstr_110,Humans_movi_111,2.39E-1
20,Humans_abstr_110,Humans_movi_112,4.92E-1
21,Humans_abstr_110,Humans_movi_113,4.65E-2
22,Humans_abstr_110,Humans_movi_114,2.56E-1
23,Humans_abstr_110,Humans_movi_115,4.67E-2
24,Humans_abstr_110,Machines_base_Centroid,8.74E-8
25,Humans_abstr_110,Machines_base_FreqSum,3.80E-3
26,Humans_abstr_110,Machines_base_GreedyKL,1.90E-7
27,Humans_abstr_110,Machines_base_LexRank,8.37E-5
28,Humans_abstr_110,Machines_base_TsSum,5.07E-4
29,Humans_abstr_110,Machines_soa_CLASSY04,5.00E-1
30,Humans_abstr_110,Machines_soa_CLASSY11,2.28E-1
31,Humans_abstr_110,Machines_soa_DPP,7.17E-2
32,Humans_abstr_110,Machines_soa_ICSISumm,4.82E-3
33,Humans_abstr_110,Machines_soa_OCCAMS_V,2.61E-2
34,Humans_abstr_110,Machines_soa_RegSum,5.26E-3
35,Humans_abstr_110,Machines_soa_Submodular,1.84E-1
38,Humans_abstr_112,Humans_abstr_113,3.88E-1
39,Humans_abstr_112,Humans_abstr_114,1.74E-1
40,Humans_abstr_112,Humans_abstr_115,2.31E-1
41,Humans_abstr_112,Humans_duc_A,4.69E-1
42,Humans_abstr_112,Humans_duc_B,2.69E-4
43,Humans_abstr_112,Humans_duc_C,3.77E-1
44,Humans_abstr_112,Humans_duc_D,4.73E-3
45,Humans_abstr_112,Humans_duc_E,4.14E-3
46,Humans_abstr_112,Humans_duc_F,1.50E-7
47,Humans_abstr_112,Humans_duc_G,6.94E-6
48,Humans_abstr_112,Humans_duc_H,5.88E-3
49,Humans_abstr_112,Humans_movi_101,1.15E-2
50,Humans_abstr_112,Humans_movi_102,1.85E-2
51,Humans_abstr_112,Humans_movi_103,6.78E-3
52,Humans_abstr_112,Humans_movi_104,6.88E-4
53,Humans_abstr_112,Humans_movi_105,3.96E-3
54,Humans_abstr_112,Humans_movi_110,8.25E-2
55,Humans_abstr_112,Humans_movi_111,3.27E-2
56,Humans_abstr_112,Humans_movi_112,9.70E-2
57,Humans_abstr_112,Humans_movi_113,2.48E-3
58,Humans_abstr_112,Humans_movi_114,4.23E-2
