,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,2.67E-1
2,Humans_abstr_110,Humans_abstr_113,1.30E-1
3,Humans_abstr_110,Humans_abstr_114,2.33E-1
4,Humans_abstr_110,Humans_abstr_115,1.93E-2
5,Humans_abstr_110,Humans_duc_A,2.11E-7
6,Humans_abstr_110,Humans_duc_B,1.34E-9
7,Humans_abstr_110,Humans_duc_C,4.00E-9
8,Humans_abstr_110,Humans_duc_D,2.20E-8
9,Humans_abstr_110,Humans_duc_E,7.55E-9
10,Humans_abstr_110,Humans_duc_F,7.48E-8
11,Humans_abstr_110,Humans_duc_G,7.99E-7
12,Humans_abstr_110,Humans_duc_H,1.24E-5
13,Humans_abstr_110,Humans_movi_101,9.72E-7
14,Humans_abstr_110,Humans_movi_102,5.39E-5
15,Humans_abstr_110,Humans_movi_103,2.07E-8
16,Humans_abstr_110,Humans_movi_104,8.51E-7
17,Humans_abstr_110,Humans_movi_105,8.70E-7
18,Humans_abstr_110,Humans_movi_110,2.59E-7
19,Humans_abstr_110,Humans_movi_111,4.29E-7
20,Humans_abstr_110,Humans_movi_112,1.47E-4
21,Humans_abstr_110,Humans_movi_113,4.47E-7
22,Humans_abstr_110,Humans_movi_114,9.29E-5
23,Humans_abstr_110,Humans_movi_115,1.24E-6
24,Humans_abstr_110,Machines_base_Centroid,3.03E-1
25,Humans_abstr_110,Machines_base_FreqSum,1.27E-7
26,Humans_abstr_110,Machines_base_GreedyKL,1.16E-1
27,Humans_abstr_110,Machines_base_LexRank,3.87E-5
28,Humans_abstr_110,Machines_base_TsSum,2.64E-6
29,Humans_abstr_110,Machines_soa_CLASSY04,9.97E-2
30,Humans_abstr_110,Machines_soa_CLASSY11,3.34E-4
31,Humans_abstr_110,Machines_soa_DPP,2.36E-6
32,Humans_abstr_110,Machines_soa_ICSISumm,2.72E-4
33,Humans_abstr_110,Machines_soa_OCCAMS_V,9.87E-9
34,Humans_abstr_110,Machines_soa_RegSum,9.64E-3
35,Humans_abstr_110,Machines_soa_Submodular,3.92E-4
38,Humans_abstr_112,Humans_abstr_113,2.57E-1
39,Humans_abstr_112,Humans_abstr_114,9.65E-2
40,Humans_abstr_112,Humans_abstr_115,8.84E-2
41,Humans_abstr_112,Humans_duc_A,1.18E-7
42,Humans_abstr_112,Humans_duc_B,1.33E-9
43,Humans_abstr_112,Humans_duc_C,3.35E-9
44,Humans_abstr_112,Humans_duc_D,1.01E-8
45,Humans_abstr_112,Humans_duc_E,4.98E-9
46,Humans_abstr_112,Humans_duc_F,4.37E-8
47,Humans_abstr_112,Humans_duc_G,3.80E-7
48,Humans_abstr_112,Humans_duc_H,5.74E-6
49,Humans_abstr_112,Humans_movi_101,5.87E-7
50,Humans_abstr_112,Humans_movi_102,2.68E-5
51,Humans_abstr_112,Humans_movi_103,1.48E-8
52,Humans_abstr_112,Humans_movi_104,4.27E-7
53,Humans_abstr_112,Humans_movi_105,5.27E-7
54,Humans_abstr_112,Humans_movi_110,1.26E-7
55,Humans_abstr_112,Humans_movi_111,2.72E-7
56,Humans_abstr_112,Humans_movi_112,6.23E-5
57,Humans_abstr_112,Humans_movi_113,2.57E-7
58,Humans_abstr_112,Humans_movi_114,4.72E-5
59,Humans_abstr_112,Humans_movi_115,6.00E-7
60,Humans_abstr_112,Machines_base_Centroid,1.80E-1
61,Humans_abstr_112,Machines_base_FreqSum,1.09E-7
62,Humans_abstr_112,Machines_base_GreedyKL,5.03E-2
63,Humans_abstr_112,Machines_base_LexRank,1.75E-5
64,Humans_abstr_112,Machines_base_TsSum,1.34E-6
65,Humans_abstr_112,Machines_soa_CLASSY04,4.91E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,1.46E-4
67,Humans_abstr_112,Machines_soa_DPP,1.11E-6
68,Humans_abstr_112,Machines_soa_ICSISumm,1.01E-4
69,Humans_abstr_112,Machines_soa_OCCAMS_V,5.61E-9
70,Humans_abstr_112,Machines_soa_RegSum,2.81E-3
71,Humans_abstr_112,Machines_soa_Submodular,1.64E-4
75,Humans_abstr_113,Humans_abstr_114,2.72E-2
76,Humans_abstr_113,Humans_abstr_115,2.58E-1
77,Humans_abstr_113,Humans_duc_A,2.27E-8
78,Humans_abstr_113,Humans_duc_B,8.27E-10
79,Humans_abstr_113,Humans_duc_C,1.24E-9
80,Humans_abstr_113,Humans_duc_D,4.57E-9
81,Humans_abstr_113,Humans_duc_E,1.16E-9
82,Humans_abstr_113,Humans_duc_F,1.32E-8
83,Humans_abstr_113,Humans_duc_G,7.02E-8
84,Humans_abstr_113,Humans_duc_H,7.77E-7
85,Humans_abstr_113,Humans_movi_101,5.57E-8
86,Humans_abstr_113,Humans_movi_102,5.98E-6
87,Humans_abstr_113,Humans_movi_103,4.29E-9
88,Humans_abstr_113,Humans_movi_104,1.33E-7
89,Humans_abstr_113,Humans_movi_105,1.58E-7
90,Humans_abstr_113,Humans_movi_110,4.65E-8
91,Humans_abstr_113,Humans_movi_111,4.42E-8
92,Humans_abstr_113,Humans_movi_112,1.85E-5
93,Humans_abstr_113,Humans_movi_113,8.74E-8
94,Humans_abstr_113,Humans_movi_114,1.05E-5
95,Humans_abstr_113,Humans_movi_115,2.57E-7
96,Humans_abstr_113,Machines_base_Centroid,5.45E-2
97,Humans_abstr_113,Machines_base_FreqSum,1.57E-8
98,Humans_abstr_113,Machines_base_GreedyKL,1.27E-2
99,Humans_abstr_113,Machines_base_LexRank,2.61E-6
100,Humans_abstr_113,Machines_base_TsSum,1.96E-7
101,Humans_abstr_113,Machines_soa_CLASSY04,1.06E-2
102,Humans_abstr_113,Machines_soa_CLASSY11,1.68E-5
103,Humans_abstr_113,Machines_soa_DPP,2.70E-7
104,Humans_abstr_113,Machines_soa_ICSISumm,1.07E-5
105,Humans_abstr_113,Machines_soa_OCCAMS_V,1.24E-9
106,Humans_abstr_113,Machines_soa_RegSum,5.49E-4
107,Humans_abstr_113,Machines_soa_Submodular,2.57E-5
112,Humans_abstr_114,Humans_abstr_115,1.35E-3
113,Humans_abstr_114,Humans_duc_A,4.25E-7
114,Humans_abstr_114,Humans_duc_B,1.43E-9
115,Humans_abstr_114,Humans_duc_C,1.88E-9
116,Humans_abstr_114,Humans_duc_D,1.67E-8
117,Humans_abstr_114,Humans_duc_E,5.35E-9
118,Humans_abstr_114,Humans_duc_F,7.90E-8
119,Humans_abstr_114,Humans_duc_G,1.49E-6
120,Humans_abstr_114,Humans_duc_H,2.42E-5
121,Humans_abstr_114,Humans_movi_101,1.63E-6
122,Humans_abstr_114,Humans_movi_102,1.47E-4
123,Humans_abstr_114,Humans_movi_103,1.86E-8
124,Humans_abstr_114,Humans_movi_104,2.54E-6
125,Humans_abstr_114,Humans_movi_105,1.16E-6
126,Humans_abstr_114,Humans_movi_110,4.97E-7
127,Humans_abstr_114,Humans_movi_111,5.22E-7
128,Humans_abstr_114,Humans_movi_112,3.77E-4
129,Humans_abstr_114,Humans_movi_113,9.84E-7
130,Humans_abstr_114,Humans_movi_114,2.46E-4
131,Humans_abstr_114,Humans_movi_115,2.29E-6
132,Humans_abstr_114,Machines_base_Centroid,3.97E-1
133,Humans_abstr_114,Machines_base_FreqSum,2.74E-7
134,Humans_abstr_114,Machines_base_GreedyKL,3.07E-1
135,Humans_abstr_114,Machines_base_LexRank,7.60E-5
136,Humans_abstr_114,Machines_base_TsSum,9.59E-6
137,Humans_abstr_114,Machines_soa_CLASSY04,2.93E-1
138,Humans_abstr_114,Machines_soa_CLASSY11,1.93E-3
139,Humans_abstr_114,Machines_soa_DPP,7.03E-6
140,Humans_abstr_114,Machines_soa_ICSISumm,1.25E-3
141,Humans_abstr_114,Machines_soa_OCCAMS_V,8.39E-9
142,Humans_abstr_114,Machines_soa_RegSum,2.49E-2
143,Humans_abstr_114,Machines_soa_Submodular,1.01E-3
149,Humans_abstr_115,Humans_duc_A,3.42E-9
150,Humans_abstr_115,Humans_duc_B,7.40E-10
151,Humans_abstr_115,Humans_duc_C,8.68E-10
152,Humans_abstr_115,Humans_duc_D,1.43E-9
153,Humans_abstr_115,Humans_duc_E,8.27E-10
154,Humans_abstr_115,Humans_duc_F,7.95E-9
155,Humans_abstr_115,Humans_duc_G,1.11E-8
156,Humans_abstr_115,Humans_duc_H,5.96E-8
157,Humans_abstr_115,Humans_movi_101,2.16E-8
158,Humans_abstr_115,Humans_movi_102,3.05E-6
159,Humans_abstr_115,Humans_movi_103,1.81E-9
160,Humans_abstr_115,Humans_movi_104,2.74E-8
161,Humans_abstr_115,Humans_movi_105,5.02E-8
162,Humans_abstr_115,Humans_movi_110,1.66E-8
163,Humans_abstr_115,Humans_movi_111,1.67E-8
164,Humans_abstr_115,Humans_movi_112,4.27E-7
165,Humans_abstr_115,Humans_movi_113,6.07E-9
166,Humans_abstr_115,Humans_movi_114,1.31E-6
167,Humans_abstr_115,Humans_movi_115,3.78E-8
168,Humans_abstr_115,Machines_base_Centroid,8.65E-3
