,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.35E-1
2,Humans_abstr_110,Humans_abstr_113,4.32E-1
3,Humans_abstr_110,Humans_abstr_114,2.64E-1
4,Humans_abstr_110,Humans_abstr_115,2.96E-1
5,Humans_abstr_110,Humans_duc_A,1.72E-9
6,Humans_abstr_110,Humans_duc_B,2.93E-8
7,Humans_abstr_110,Humans_duc_C,1.94E-9
8,Humans_abstr_110,Humans_duc_D,2.05E-9
9,Humans_abstr_110,Humans_duc_E,3.89E-9
10,Humans_abstr_110,Humans_duc_F,2.77E-8
11,Humans_abstr_110,Humans_duc_G,5.92E-8
12,Humans_abstr_110,Humans_duc_H,2.91E-9
13,Humans_abstr_110,Humans_movi_101,2.94E-8
14,Humans_abstr_110,Humans_movi_102,1.27E-8
15,Humans_abstr_110,Humans_movi_103,6.25E-8
16,Humans_abstr_110,Humans_movi_104,4.73E-8
17,Humans_abstr_110,Humans_movi_105,1.10E-6
18,Humans_abstr_110,Humans_movi_110,2.92E-9
19,Humans_abstr_110,Humans_movi_111,1.37E-7
20,Humans_abstr_110,Humans_movi_112,1.03E-8
21,Humans_abstr_110,Humans_movi_113,1.66E-6
22,Humans_abstr_110,Humans_movi_114,1.14E-6
23,Humans_abstr_110,Humans_movi_115,2.12E-7
24,Humans_abstr_110,Machines_base_Centroid,6.22E-10
25,Humans_abstr_110,Machines_base_FreqSum,1.01E-9
26,Humans_abstr_110,Machines_base_GreedyKL,6.22E-10
27,Humans_abstr_110,Machines_base_LexRank,8.92E-10
28,Humans_abstr_110,Machines_base_TsSum,6.23E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,1.28E-9
30,Humans_abstr_110,Machines_soa_CLASSY11,6.17E-10
31,Humans_abstr_110,Machines_soa_DPP,7.47E-10
32,Humans_abstr_110,Machines_soa_ICSISumm,7.04E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,4.11E-9
34,Humans_abstr_110,Machines_soa_RegSum,7.01E-10
35,Humans_abstr_110,Machines_soa_Submodular,9.44E-10
38,Humans_abstr_112,Humans_abstr_113,2.29E-1
39,Humans_abstr_112,Humans_abstr_114,3.44E-2
40,Humans_abstr_112,Humans_abstr_115,2.71E-1
41,Humans_abstr_112,Humans_duc_A,8.26E-10
42,Humans_abstr_112,Humans_duc_B,2.26E-9
43,Humans_abstr_112,Humans_duc_C,8.24E-10
44,Humans_abstr_112,Humans_duc_D,7.76E-10
45,Humans_abstr_112,Humans_duc_E,1.11E-9
46,Humans_abstr_112,Humans_duc_F,3.61E-9
47,Humans_abstr_112,Humans_duc_G,6.09E-9
48,Humans_abstr_112,Humans_duc_H,1.50E-9
49,Humans_abstr_112,Humans_movi_101,3.62E-9
50,Humans_abstr_112,Humans_movi_102,1.89E-9
51,Humans_abstr_112,Humans_movi_103,6.09E-9
52,Humans_abstr_112,Humans_movi_104,4.04E-9
53,Humans_abstr_112,Humans_movi_105,1.78E-7
54,Humans_abstr_112,Humans_movi_110,8.26E-10
55,Humans_abstr_112,Humans_movi_111,1.50E-8
56,Humans_abstr_112,Humans_movi_112,1.90E-9
57,Humans_abstr_112,Humans_movi_113,1.37E-7
58,Humans_abstr_112,Humans_movi_114,8.08E-8
59,Humans_abstr_112,Humans_movi_115,5.90E-8
60,Humans_abstr_112,Machines_base_Centroid,5.73E-10
61,Humans_abstr_112,Machines_base_FreqSum,6.49E-10
62,Humans_abstr_112,Machines_base_GreedyKL,5.72E-10
63,Humans_abstr_112,Machines_base_LexRank,6.46E-10
64,Humans_abstr_112,Machines_base_TsSum,5.73E-10
65,Humans_abstr_112,Machines_soa_CLASSY04,7.74E-10
66,Humans_abstr_112,Machines_soa_CLASSY11,5.68E-10
67,Humans_abstr_112,Machines_soa_DPP,5.74E-10
68,Humans_abstr_112,Machines_soa_ICSISumm,5.74E-10
69,Humans_abstr_112,Machines_soa_OCCAMS_V,1.40E-9
70,Humans_abstr_112,Machines_soa_RegSum,5.72E-10
71,Humans_abstr_112,Machines_soa_Submodular,6.44E-10
75,Humans_abstr_113,Humans_abstr_114,2.52E-1
76,Humans_abstr_113,Humans_abstr_115,4.80E-1
77,Humans_abstr_113,Humans_duc_A,9.20E-10
78,Humans_abstr_113,Humans_duc_B,6.73E-9
79,Humans_abstr_113,Humans_duc_C,6.39E-10
80,Humans_abstr_113,Humans_duc_D,9.20E-10
81,Humans_abstr_113,Humans_duc_E,9.20E-10
82,Humans_abstr_113,Humans_duc_F,1.11E-8
83,Humans_abstr_113,Humans_duc_G,1.11E-8
84,Humans_abstr_113,Humans_duc_H,2.64E-9
85,Humans_abstr_113,Humans_movi_101,1.57E-8
86,Humans_abstr_113,Humans_movi_102,3.34E-9
87,Humans_abstr_113,Humans_movi_103,1.76E-8
88,Humans_abstr_113,Humans_movi_104,1.83E-8
89,Humans_abstr_113,Humans_movi_105,3.96E-7
90,Humans_abstr_113,Humans_movi_110,9.23E-10
91,Humans_abstr_113,Humans_movi_111,5.18E-8
92,Humans_abstr_113,Humans_movi_112,1.99E-9
93,Humans_abstr_113,Humans_movi_113,2.76E-7
94,Humans_abstr_113,Humans_movi_114,4.86E-7
95,Humans_abstr_113,Humans_movi_115,1.23E-7
96,Humans_abstr_113,Machines_base_Centroid,5.67E-10
97,Humans_abstr_113,Machines_base_FreqSum,7.26E-10
98,Humans_abstr_113,Machines_base_GreedyKL,5.67E-10
99,Humans_abstr_113,Machines_base_LexRank,5.68E-10
100,Humans_abstr_113,Machines_base_TsSum,5.68E-10
101,Humans_abstr_113,Machines_soa_CLASSY04,8.16E-10
102,Humans_abstr_113,Machines_soa_CLASSY11,5.63E-10
103,Humans_abstr_113,Machines_soa_DPP,5.69E-10
104,Humans_abstr_113,Machines_soa_ICSISumm,5.69E-10
105,Humans_abstr_113,Machines_soa_OCCAMS_V,2.36E-9
106,Humans_abstr_113,Machines_soa_RegSum,5.66E-10
107,Humans_abstr_113,Machines_soa_Submodular,6.36E-10
112,Humans_abstr_114,Humans_abstr_115,1.11E-1
113,Humans_abstr_114,Humans_duc_A,2.46E-9
114,Humans_abstr_114,Humans_duc_B,6.92E-8
115,Humans_abstr_114,Humans_duc_C,2.75E-9
116,Humans_abstr_114,Humans_duc_D,3.69E-9
117,Humans_abstr_114,Humans_duc_E,5.84E-9
118,Humans_abstr_114,Humans_duc_F,5.86E-8
119,Humans_abstr_114,Humans_duc_G,1.23E-7
120,Humans_abstr_114,Humans_duc_H,4.62E-9
121,Humans_abstr_114,Humans_movi_101,7.69E-8
122,Humans_abstr_114,Humans_movi_102,1.88E-8
123,Humans_abstr_114,Humans_movi_103,1.23E-7
124,Humans_abstr_114,Humans_movi_104,1.16E-7
125,Humans_abstr_114,Humans_movi_105,2.49E-6
126,Humans_abstr_114,Humans_movi_110,4.40E-9
127,Humans_abstr_114,Humans_movi_111,4.15E-7
128,Humans_abstr_114,Humans_movi_112,1.79E-8
129,Humans_abstr_114,Humans_movi_113,3.67E-6
130,Humans_abstr_114,Humans_movi_114,2.53E-6
131,Humans_abstr_114,Humans_movi_115,5.23E-7
132,Humans_abstr_114,Machines_base_Centroid,6.66E-10
133,Humans_abstr_114,Machines_base_FreqSum,1.08E-9
134,Humans_abstr_114,Machines_base_GreedyKL,6.65E-10
135,Humans_abstr_114,Machines_base_LexRank,9.53E-10
136,Humans_abstr_114,Machines_base_TsSum,8.48E-10
137,Humans_abstr_114,Machines_soa_CLASSY04,1.72E-9
138,Humans_abstr_114,Machines_soa_CLASSY11,6.60E-10
139,Humans_abstr_114,Machines_soa_DPP,9.00E-10
140,Humans_abstr_114,Machines_soa_ICSISumm,7.52E-10
141,Humans_abstr_114,Machines_soa_OCCAMS_V,6.49E-9
142,Humans_abstr_114,Machines_soa_RegSum,7.50E-10
143,Humans_abstr_114,Machines_soa_Submodular,1.13E-9
149,Humans_abstr_115,Humans_duc_A,1.87E-9
150,Humans_abstr_115,Humans_duc_B,5.00E-9
151,Humans_abstr_115,Humans_duc_C,1.31E-9
152,Humans_abstr_115,Humans_duc_D,1.56E-9
153,Humans_abstr_115,Humans_duc_E,2.66E-9
154,Humans_abstr_115,Humans_duc_F,1.47E-8
155,Humans_abstr_115,Humans_duc_G,3.16E-8
156,Humans_abstr_115,Humans_duc_H,2.10E-9
157,Humans_abstr_115,Humans_movi_101,7.90E-9
158,Humans_abstr_115,Humans_movi_102,4.40E-9
159,Humans_abstr_115,Humans_movi_103,1.39E-8
