,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.70E-1
2,Humans_abstr_110,Humans_abstr_113,4.96E-1
3,Humans_abstr_110,Humans_abstr_114,2.32E-1
4,Humans_abstr_110,Humans_abstr_115,5.00E-1
5,Humans_abstr_110,Humans_duc_A,4.66E-9
6,Humans_abstr_110,Humans_duc_B,1.23E-8
7,Humans_abstr_110,Humans_duc_C,1.85E-9
8,Humans_abstr_110,Humans_duc_D,4.33E-9
9,Humans_abstr_110,Humans_duc_E,9.06E-9
10,Humans_abstr_110,Humans_duc_F,1.66E-8
11,Humans_abstr_110,Humans_duc_G,4.34E-8
12,Humans_abstr_110,Humans_duc_H,6.09E-9
13,Humans_abstr_110,Humans_movi_101,4.37E-7
14,Humans_abstr_110,Humans_movi_102,1.12E-7
15,Humans_abstr_110,Humans_movi_103,2.65E-6
16,Humans_abstr_110,Humans_movi_104,4.21E-7
17,Humans_abstr_110,Humans_movi_105,3.61E-6
18,Humans_abstr_110,Humans_movi_110,4.86E-8
19,Humans_abstr_110,Humans_movi_111,7.90E-6
20,Humans_abstr_110,Humans_movi_112,6.63E-8
21,Humans_abstr_110,Humans_movi_113,4.17E-6
22,Humans_abstr_110,Humans_movi_114,2.08E-6
23,Humans_abstr_110,Humans_movi_115,3.00E-7
24,Humans_abstr_110,Machines_base_Centroid,8.70E-10
25,Humans_abstr_110,Machines_base_FreqSum,2.12E-9
26,Humans_abstr_110,Machines_base_GreedyKL,9.00E-10
27,Humans_abstr_110,Machines_base_LexRank,3.20E-9
28,Humans_abstr_110,Machines_base_TsSum,6.19E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,1.07E-8
30,Humans_abstr_110,Machines_soa_CLASSY11,4.76E-10
31,Humans_abstr_110,Machines_soa_DPP,2.41E-9
32,Humans_abstr_110,Machines_soa_ICSISumm,9.92E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.21E-8
34,Humans_abstr_110,Machines_soa_RegSum,1.40E-9
35,Humans_abstr_110,Machines_soa_Submodular,3.08E-9
38,Humans_abstr_112,Humans_abstr_113,1.83E-1
39,Humans_abstr_112,Humans_abstr_114,5.64E-2
