,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,3.86E-1
2,Humans_abstr_110,Humans_abstr_113,3.64E-1
3,Humans_abstr_110,Humans_abstr_114,3.84E-1
4,Humans_abstr_110,Humans_abstr_115,2.37E-1
5,Humans_abstr_110,Humans_duc_A,6.30E-10
6,Humans_abstr_110,Humans_duc_B,2.25E-7
7,Humans_abstr_110,Humans_duc_C,8.35E-9
8,Humans_abstr_110,Humans_duc_D,4.58E-9
9,Humans_abstr_110,Humans_duc_E,2.39E-8
10,Humans_abstr_110,Humans_duc_F,5.72E-7
11,Humans_abstr_110,Humans_duc_G,3.33E-6
12,Humans_abstr_110,Humans_duc_H,1.49E-8
13,Humans_abstr_110,Humans_movi_101,1.08E-7
14,Humans_abstr_110,Humans_movi_102,2.02E-6
15,Humans_abstr_110,Humans_movi_103,5.26E-7
16,Humans_abstr_110,Humans_movi_104,3.82E-6
17,Humans_abstr_110,Humans_movi_105,2.13E-6
18,Humans_abstr_110,Humans_movi_110,2.37E-8
19,Humans_abstr_110,Humans_movi_111,2.30E-7
20,Humans_abstr_110,Humans_movi_112,2.63E-8
21,Humans_abstr_110,Humans_movi_113,2.05E-6
22,Humans_abstr_110,Humans_movi_114,4.91E-7
23,Humans_abstr_110,Humans_movi_115,8.83E-8
24,Humans_abstr_110,Machines_base_Centroid,2.27E-10
25,Humans_abstr_110,Machines_base_FreqSum,3.47E-10
26,Humans_abstr_110,Machines_base_GreedyKL,2.04E-10
27,Humans_abstr_110,Machines_base_LexRank,4.47E-10
28,Humans_abstr_110,Machines_base_TsSum,2.51E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,3.34E-10
30,Humans_abstr_110,Machines_soa_CLASSY11,1.93E-10
31,Humans_abstr_110,Machines_soa_DPP,3.07E-10
32,Humans_abstr_110,Machines_soa_ICSISumm,2.39E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,2.31E-8
34,Humans_abstr_110,Machines_soa_RegSum,2.67E-10
