,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.95E-1
2,Humans_abstr_110,Humans_abstr_113,4.86E-1
3,Humans_abstr_110,Humans_abstr_114,1.51E-1
4,Humans_abstr_110,Humans_abstr_115,1.20E-1
5,Humans_abstr_110,Humans_duc_A,3.67E-2
6,Humans_abstr_110,Humans_duc_B,3.80E-3
7,Humans_abstr_110,Humans_duc_C,6.44E-2
8,Humans_abstr_110,Humans_duc_D,2.75E-3
9,Humans_abstr_110,Humans_duc_E,4.69E-3
10,Humans_abstr_110,Humans_duc_F,2.03E-2
11,Humans_abstr_110,Humans_duc_G,3.51E-2
12,Humans_abstr_110,Humans_duc_H,5.30E-4
13,Humans_abstr_110,Humans_movi_101,4.95E-1
14,Humans_abstr_110,Humans_movi_102,1.95E-1
15,Humans_abstr_110,Humans_movi_103,3.11E-2
16,Humans_abstr_110,Humans_movi_104,4.95E-1
17,Humans_abstr_110,Humans_movi_105,3.30E-1
18,Humans_abstr_110,Humans_movi_110,2.88E-1
19,Humans_abstr_110,Humans_movi_111,1.20E-1
20,Humans_abstr_110,Humans_movi_112,2.65E-1
21,Humans_abstr_110,Humans_movi_113,1.01E-1
22,Humans_abstr_110,Humans_movi_114,3.94E-1
23,Humans_abstr_110,Humans_movi_115,4.11E-1
24,Humans_abstr_110,Machines_base_Centroid,5.43E-5
25,Humans_abstr_110,Machines_base_FreqSum,2.29E-4
26,Humans_abstr_110,Machines_base_GreedyKL,8.93E-3
27,Humans_abstr_110,Machines_base_LexRank,1.51E-2
28,Humans_abstr_110,Machines_base_TsSum,6.35E-4
29,Humans_abstr_110,Machines_soa_CLASSY04,6.74E-2
30,Humans_abstr_110,Machines_soa_CLASSY11,1.15E-2
31,Humans_abstr_110,Machines_soa_DPP,6.26E-2
32,Humans_abstr_110,Machines_soa_ICSISumm,1.23E-1
33,Humans_abstr_110,Machines_soa_OCCAMS_V,3.30E-1
34,Humans_abstr_110,Machines_soa_RegSum,9.41E-2
35,Humans_abstr_110,Machines_soa_Submodular,2.37E-2
38,Humans_abstr_112,Humans_abstr_113,2.08E-1
39,Humans_abstr_112,Humans_abstr_114,4.13E-2
40,Humans_abstr_112,Humans_abstr_115,3.78E-1
41,Humans_abstr_112,Humans_duc_A,6.71E-3
42,Humans_abstr_112,Humans_duc_B,6.47E-4
43,Humans_abstr_112,Humans_duc_C,1.09E-2
44,Humans_abstr_112,Humans_duc_D,3.14E-4
45,Humans_abstr_112,Humans_duc_E,4.83E-4
46,Humans_abstr_112,Humans_duc_F,3.27E-3
47,Humans_abstr_112,Humans_duc_G,6.33E-3
48,Humans_abstr_112,Humans_duc_H,6.68E-5
49,Humans_abstr_112,Humans_movi_101,1.95E-1
50,Humans_abstr_112,Humans_movi_102,4.95E-1
51,Humans_abstr_112,Humans_movi_103,1.51E-1
52,Humans_abstr_112,Humans_movi_104,1.95E-1
53,Humans_abstr_112,Humans_movi_105,3.52E-1
54,Humans_abstr_112,Humans_movi_110,3.85E-1
55,Humans_abstr_112,Humans_movi_111,3.78E-1
56,Humans_abstr_112,Humans_movi_112,4.38E-1
57,Humans_abstr_112,Humans_movi_113,3.13E-1
58,Humans_abstr_112,Humans_movi_114,2.80E-1
59,Humans_abstr_112,Humans_movi_115,2.98E-1
60,Humans_abstr_112,Machines_base_Centroid,8.72E-6
61,Humans_abstr_112,Machines_base_FreqSum,2.70E-5
62,Humans_abstr_112,Machines_base_GreedyKL,1.34E-3
63,Humans_abstr_112,Machines_base_LexRank,2.47E-3
64,Humans_abstr_112,Machines_base_TsSum,7.37E-5
65,Humans_abstr_112,Machines_soa_CLASSY04,1.64E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,1.66E-3
67,Humans_abstr_112,Machines_soa_DPP,1.31E-2
68,Humans_abstr_112,Machines_soa_ICSISumm,2.40E-2
69,Humans_abstr_112,Machines_soa_OCCAMS_V,3.52E-1
70,Humans_abstr_112,Machines_soa_RegSum,2.20E-2
71,Humans_abstr_112,Machines_soa_Submodular,4.58E-3
75,Humans_abstr_113,Humans_abstr_114,1.98E-1
76,Humans_abstr_113,Humans_abstr_115,1.36E-1
77,Humans_abstr_113,Humans_duc_A,6.01E-2
78,Humans_abstr_113,Humans_duc_B,6.87E-3
79,Humans_abstr_113,Humans_duc_C,8.89E-2
80,Humans_abstr_113,Humans_duc_D,8.59E-3
81,Humans_abstr_113,Humans_duc_E,1.50E-2
82,Humans_abstr_113,Humans_duc_F,3.62E-2
83,Humans_abstr_113,Humans_duc_G,4.95E-2
84,Humans_abstr_113,Humans_duc_H,2.31E-3
85,Humans_abstr_113,Humans_movi_101,4.86E-1
86,Humans_abstr_113,Humans_movi_102,2.08E-1
