,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,2.78E-1
2,Humans_abstr_110,Humans_abstr_113,1.69E-1
3,Humans_abstr_110,Humans_abstr_114,4.89E-1
4,Humans_abstr_110,Humans_abstr_115,1.51E-1
5,Humans_abstr_110,Humans_duc_A,4.89E-1
6,Humans_abstr_110,Humans_duc_B,8.64E-4
7,Humans_abstr_110,Humans_duc_C,2.11E-3
8,Humans_abstr_110,Humans_duc_D,6.42E-8
9,Humans_abstr_110,Humans_duc_E,3.50E-5
10,Humans_abstr_110,Humans_duc_F,4.74E-3
11,Humans_abstr_110,Humans_duc_G,1.07E-2
12,Humans_abstr_110,Humans_duc_H,5.28E-3
13,Humans_abstr_110,Humans_movi_101,1.87E-7
14,Humans_abstr_110,Humans_movi_102,4.43E-7
15,Humans_abstr_110,Humans_movi_103,1.96E-7
16,Humans_abstr_110,Humans_movi_104,1.25E-5
17,Humans_abstr_110,Humans_movi_105,1.19E-5
18,Humans_abstr_110,Humans_movi_110,8.16E-11
19,Humans_abstr_110,Humans_movi_111,1.89E-8
20,Humans_abstr_110,Humans_movi_112,5.60E-7
21,Humans_abstr_110,Humans_movi_113,5.92E-8
22,Humans_abstr_110,Humans_movi_114,1.44E-6
23,Humans_abstr_110,Humans_movi_115,1.26E-5
24,Humans_abstr_110,Machines_base_Centroid,1.93E-6
25,Humans_abstr_110,Machines_base_FreqSum,1.78E-6
26,Humans_abstr_110,Machines_base_GreedyKL,2.26E-4
27,Humans_abstr_110,Machines_base_LexRank,1.06E-4
28,Humans_abstr_110,Machines_base_TsSum,1.85E-6
29,Humans_abstr_110,Machines_soa_CLASSY04,2.61E-3
30,Humans_abstr_110,Machines_soa_CLASSY11,5.45E-3
31,Humans_abstr_110,Machines_soa_DPP,4.87E-4
32,Humans_abstr_110,Machines_soa_ICSISumm,2.20E-4
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.05E-4
34,Humans_abstr_110,Machines_soa_RegSum,1.91E-4
35,Humans_abstr_110,Machines_soa_Submodular,1.14E-3
38,Humans_abstr_112,Humans_abstr_113,8.08E-2
39,Humans_abstr_112,Humans_abstr_114,2.78E-1
40,Humans_abstr_112,Humans_abstr_115,3.27E-1
41,Humans_abstr_112,Humans_duc_A,2.78E-1
42,Humans_abstr_112,Humans_duc_B,2.56E-3
43,Humans_abstr_112,Humans_duc_C,7.13E-3
44,Humans_abstr_112,Humans_duc_D,4.09E-7
45,Humans_abstr_112,Humans_duc_E,1.99E-4
46,Humans_abstr_112,Humans_duc_F,1.67E-2
47,Humans_abstr_112,Humans_duc_G,3.95E-2
48,Humans_abstr_112,Humans_duc_H,2.17E-2
49,Humans_abstr_112,Humans_movi_101,9.32E-7
50,Humans_abstr_112,Humans_movi_102,2.23E-6
51,Humans_abstr_112,Humans_movi_103,8.78E-7
52,Humans_abstr_112,Humans_movi_104,5.68E-5
53,Humans_abstr_112,Humans_movi_105,4.97E-5
54,Humans_abstr_112,Humans_movi_110,4.21E-10
55,Humans_abstr_112,Humans_movi_111,1.19E-7
56,Humans_abstr_112,Humans_movi_112,2.69E-6
57,Humans_abstr_112,Humans_movi_113,3.19E-7
58,Humans_abstr_112,Humans_movi_114,6.37E-6
59,Humans_abstr_112,Humans_movi_115,5.73E-5
60,Humans_abstr_112,Machines_base_Centroid,1.73E-5
61,Humans_abstr_112,Machines_base_FreqSum,1.01E-5
62,Humans_abstr_112,Machines_base_GreedyKL,1.26E-3
63,Humans_abstr_112,Machines_base_LexRank,8.06E-4
64,Humans_abstr_112,Machines_base_TsSum,1.10E-5
65,Humans_abstr_112,Machines_soa_CLASSY04,1.23E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,2.31E-2
67,Humans_abstr_112,Machines_soa_DPP,2.27E-3
68,Humans_abstr_112,Machines_soa_ICSISumm,1.23E-3
69,Humans_abstr_112,Machines_soa_OCCAMS_V,6.94E-4
70,Humans_abstr_112,Machines_soa_RegSum,8.05E-4
71,Humans_abstr_112,Machines_soa_Submodular,5.61E-3
75,Humans_abstr_113,Humans_abstr_114,1.69E-1
76,Humans_abstr_113,Humans_abstr_115,4.06E-2
77,Humans_abstr_113,Humans_duc_A,1.69E-1
78,Humans_abstr_113,Humans_duc_B,2.70E-4
79,Humans_abstr_113,Humans_duc_C,5.87E-4
80,Humans_abstr_113,Humans_duc_D,2.02E-8
81,Humans_abstr_113,Humans_duc_E,8.98E-6
82,Humans_abstr_113,Humans_duc_F,1.24E-3
83,Humans_abstr_113,Humans_duc_G,2.54E-3
84,Humans_abstr_113,Humans_duc_H,1.22E-3
85,Humans_abstr_113,Humans_movi_101,6.22E-8
86,Humans_abstr_113,Humans_movi_102,1.63E-7
87,Humans_abstr_113,Humans_movi_103,6.55E-8
88,Humans_abstr_113,Humans_movi_104,3.66E-6
89,Humans_abstr_113,Humans_movi_105,3.69E-6
90,Humans_abstr_113,Humans_movi_110,3.91E-11
91,Humans_abstr_113,Humans_movi_111,6.28E-9
92,Humans_abstr_113,Humans_movi_112,1.88E-7
93,Humans_abstr_113,Humans_movi_113,2.08E-8
94,Humans_abstr_113,Humans_movi_114,5.09E-7
95,Humans_abstr_113,Humans_movi_115,3.71E-6
96,Humans_abstr_113,Machines_base_Centroid,4.28E-7
97,Humans_abstr_113,Machines_base_FreqSum,5.15E-7
98,Humans_abstr_113,Machines_base_GreedyKL,4.96E-5
99,Humans_abstr_113,Machines_base_LexRank,1.87E-5
100,Humans_abstr_113,Machines_base_TsSum,5.07E-7
101,Humans_abstr_113,Machines_soa_CLASSY04,5.60E-4
102,Humans_abstr_113,Machines_soa_CLASSY11,1.20E-3
103,Humans_abstr_113,Machines_soa_DPP,1.20E-4
104,Humans_abstr_113,Machines_soa_ICSISumm,5.08E-5
105,Humans_abstr_113,Machines_soa_OCCAMS_V,2.04E-5
106,Humans_abstr_113,Machines_soa_RegSum,5.31E-5
107,Humans_abstr_113,Machines_soa_Submodular,2.62E-4
112,Humans_abstr_114,Humans_abstr_115,1.51E-1
113,Humans_abstr_114,Humans_duc_A,4.89E-1
114,Humans_abstr_114,Humans_duc_B,8.64E-4
115,Humans_abstr_114,Humans_duc_C,2.11E-3
116,Humans_abstr_114,Humans_duc_D,6.42E-8
117,Humans_abstr_114,Humans_duc_E,3.50E-5
118,Humans_abstr_114,Humans_duc_F,4.74E-3
119,Humans_abstr_114,Humans_duc_G,1.07E-2
120,Humans_abstr_114,Humans_duc_H,5.28E-3
121,Humans_abstr_114,Humans_movi_101,1.87E-7
122,Humans_abstr_114,Humans_movi_102,4.43E-7
123,Humans_abstr_114,Humans_movi_103,1.96E-7
124,Humans_abstr_114,Humans_movi_104,1.25E-5
125,Humans_abstr_114,Humans_movi_105,1.19E-5
126,Humans_abstr_114,Humans_movi_110,8.16E-11
127,Humans_abstr_114,Humans_movi_111,1.89E-8
128,Humans_abstr_114,Humans_movi_112,5.60E-7
129,Humans_abstr_114,Humans_movi_113,5.92E-8
130,Humans_abstr_114,Humans_movi_114,1.44E-6
131,Humans_abstr_114,Humans_movi_115,1.26E-5
132,Humans_abstr_114,Machines_base_Centroid,1.93E-6
133,Humans_abstr_114,Machines_base_FreqSum,1.78E-6
134,Humans_abstr_114,Machines_base_GreedyKL,2.26E-4
135,Humans_abstr_114,Machines_base_LexRank,1.06E-4
136,Humans_abstr_114,Machines_base_TsSum,1.85E-6
137,Humans_abstr_114,Machines_soa_CLASSY04,2.61E-3
138,Humans_abstr_114,Machines_soa_CLASSY11,5.45E-3
139,Humans_abstr_114,Machines_soa_DPP,4.87E-4
140,Humans_abstr_114,Machines_soa_ICSISumm,2.20E-4
141,Humans_abstr_114,Machines_soa_OCCAMS_V,1.05E-4
142,Humans_abstr_114,Machines_soa_RegSum,1.91E-4
143,Humans_abstr_114,Machines_soa_Submodular,1.14E-3
149,Humans_abstr_115,Humans_duc_A,1.51E-1
150,Humans_abstr_115,Humans_duc_B,6.81E-3
151,Humans_abstr_115,Humans_duc_C,1.90E-2
152,Humans_abstr_115,Humans_duc_D,1.60E-6
153,Humans_abstr_115,Humans_duc_E,7.18E-4
154,Humans_abstr_115,Humans_duc_F,4.20E-2
155,Humans_abstr_115,Humans_duc_G,9.06E-2
156,Humans_abstr_115,Humans_duc_H,5.35E-2
157,Humans_abstr_115,Humans_movi_101,4.13E-6
158,Humans_abstr_115,Humans_movi_102,9.79E-6
159,Humans_abstr_115,Humans_movi_103,3.04E-6
160,Humans_abstr_115,Humans_movi_104,2.13E-4
161,Humans_abstr_115,Humans_movi_105,1.81E-4
162,Humans_abstr_115,Humans_movi_110,1.82E-9
163,Humans_abstr_115,Humans_movi_111,5.60E-7
164,Humans_abstr_115,Humans_movi_112,1.01E-5
165,Humans_abstr_115,Humans_movi_113,1.35E-6
166,Humans_abstr_115,Humans_movi_114,2.49E-5
167,Humans_abstr_115,Humans_movi_115,1.89E-4
168,Humans_abstr_115,Machines_base_Centroid,6.88E-5
169,Humans_abstr_115,Machines_base_FreqSum,3.55E-5
170,Humans_abstr_115,Machines_base_GreedyKL,3.97E-3
171,Humans_abstr_115,Machines_base_LexRank,2.67E-3
172,Humans_abstr_115,Machines_base_TsSum,4.00E-5
173,Humans_abstr_115,Machines_soa_CLASSY04,3.20E-2
174,Humans_abstr_115,Machines_soa_CLASSY11,5.62E-2
175,Humans_abstr_115,Machines_soa_DPP,6.73E-3
176,Humans_abstr_115,Machines_soa_ICSISumm,3.75E-3
177,Humans_abstr_115,Machines_soa_OCCAMS_V,2.34E-3
178,Humans_abstr_115,Machines_soa_RegSum,2.51E-3
179,Humans_abstr_115,Machines_soa_Submodular,1.58E-2
186,Humans_duc_A,Humans_duc_B,8.64E-4
187,Humans_duc_A,Humans_duc_C,2.11E-3
188,Humans_duc_A,Humans_duc_D,6.42E-8
189,Humans_duc_A,Humans_duc_E,3.50E-5
190,Humans_duc_A,Humans_duc_F,4.74E-3
191,Humans_duc_A,Humans_duc_G,1.07E-2
192,Humans_duc_A,Humans_duc_H,5.28E-3
