,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.29E-1
2,Humans_abstr_110,Humans_abstr_113,4.60E-1
3,Humans_abstr_110,Humans_abstr_114,2.59E-1
4,Humans_abstr_110,Humans_abstr_115,3.19E-1
5,Humans_abstr_110,Humans_duc_A,9.29E-10
6,Humans_abstr_110,Humans_duc_B,1.08E-9
7,Humans_abstr_110,Humans_duc_C,1.03E-9
8,Humans_abstr_110,Humans_duc_D,1.32E-9
9,Humans_abstr_110,Humans_duc_E,7.59E-10
10,Humans_abstr_110,Humans_duc_F,2.52E-9
11,Humans_abstr_110,Humans_duc_G,3.75E-9
12,Humans_abstr_110,Humans_duc_H,2.52E-9
13,Humans_abstr_110,Humans_movi_101,2.41E-8
14,Humans_abstr_110,Humans_movi_102,7.31E-9
15,Humans_abstr_110,Humans_movi_103,9.83E-9
16,Humans_abstr_110,Humans_movi_104,3.42E-8
17,Humans_abstr_110,Humans_movi_105,1.98E-6
18,Humans_abstr_110,Humans_movi_110,1.55E-9
19,Humans_abstr_110,Humans_movi_111,7.36E-8
20,Humans_abstr_110,Humans_movi_112,3.95E-9
21,Humans_abstr_110,Humans_movi_113,2.92E-7
22,Humans_abstr_110,Humans_movi_114,3.67E-7
23,Humans_abstr_110,Humans_movi_115,1.76E-7
24,Humans_abstr_110,Machines_base_Centroid,6.02E-10
25,Humans_abstr_110,Machines_base_FreqSum,6.51E-10
26,Humans_abstr_110,Machines_base_GreedyKL,6.09E-10
27,Humans_abstr_110,Machines_base_LexRank,9.80E-10
28,Humans_abstr_110,Machines_base_TsSum,6.08E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,1.57E-9
30,Humans_abstr_110,Machines_soa_CLASSY11,5.91E-10
31,Humans_abstr_110,Machines_soa_DPP,6.36E-10
32,Humans_abstr_110,Machines_soa_ICSISumm,6.46E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.68E-9
34,Humans_abstr_110,Machines_soa_RegSum,6.08E-10
35,Humans_abstr_110,Machines_soa_Submodular,1.38E-9
38,Humans_abstr_112,Humans_abstr_113,1.93E-1
39,Humans_abstr_112,Humans_abstr_114,2.91E-2
40,Humans_abstr_112,Humans_abstr_115,2.38E-1
41,Humans_abstr_112,Humans_duc_A,6.11E-10
42,Humans_abstr_112,Humans_duc_B,6.66E-10
43,Humans_abstr_112,Humans_duc_C,6.06E-10
44,Humans_abstr_112,Humans_duc_D,7.28E-10
45,Humans_abstr_112,Humans_duc_E,5.63E-10
46,Humans_abstr_112,Humans_duc_F,9.85E-10
47,Humans_abstr_112,Humans_duc_G,1.33E-9
48,Humans_abstr_112,Humans_duc_H,1.25E-9
49,Humans_abstr_112,Humans_movi_101,4.70E-9
50,Humans_abstr_112,Humans_movi_102,1.47E-9
51,Humans_abstr_112,Humans_movi_103,1.88E-9
52,Humans_abstr_112,Humans_movi_104,3.53E-9
53,Humans_abstr_112,Humans_movi_105,2.30E-7
54,Humans_abstr_112,Humans_movi_110,6.78E-10
55,Humans_abstr_112,Humans_movi_111,8.78E-9
56,Humans_abstr_112,Humans_movi_112,9.70E-10
57,Humans_abstr_112,Humans_movi_113,4.42E-8
58,Humans_abstr_112,Humans_movi_114,4.22E-8
59,Humans_abstr_112,Humans_movi_115,3.77E-8
60,Humans_abstr_112,Machines_base_Centroid,5.34E-10
61,Humans_abstr_112,Machines_base_FreqSum,5.45E-10
62,Humans_abstr_112,Machines_base_GreedyKL,5.41E-10
63,Humans_abstr_112,Machines_base_LexRank,6.09E-10
64,Humans_abstr_112,Machines_base_TsSum,5.40E-10
65,Humans_abstr_112,Machines_soa_CLASSY04,8.72E-10
66,Humans_abstr_112,Machines_soa_CLASSY11,5.24E-10
67,Humans_abstr_112,Machines_soa_DPP,5.32E-10
68,Humans_abstr_112,Machines_soa_ICSISumm,5.40E-10
69,Humans_abstr_112,Machines_soa_OCCAMS_V,7.75E-10
70,Humans_abstr_112,Machines_soa_RegSum,5.40E-10
71,Humans_abstr_112,Machines_soa_Submodular,6.77E-10
75,Humans_abstr_113,Humans_abstr_114,2.36E-1
76,Humans_abstr_113,Humans_abstr_115,4.68E-1
77,Humans_abstr_113,Humans_duc_A,6.61E-10
78,Humans_abstr_113,Humans_duc_B,8.13E-10
79,Humans_abstr_113,Humans_duc_C,6.18E-10
80,Humans_abstr_113,Humans_duc_D,8.88E-10
81,Humans_abstr_113,Humans_duc_E,5.74E-10
82,Humans_abstr_113,Humans_duc_F,1.79E-9
83,Humans_abstr_113,Humans_duc_G,3.75E-9
84,Humans_abstr_113,Humans_duc_H,3.55E-9
85,Humans_abstr_113,Humans_movi_101,1.49E-8
86,Humans_abstr_113,Humans_movi_102,3.41E-9
87,Humans_abstr_113,Humans_movi_103,6.61E-9
88,Humans_abstr_113,Humans_movi_104,1.78E-8
89,Humans_abstr_113,Humans_movi_105,9.96E-7
90,Humans_abstr_113,Humans_movi_110,7.34E-10
91,Humans_abstr_113,Humans_movi_111,5.24E-8
92,Humans_abstr_113,Humans_movi_112,1.33E-9
93,Humans_abstr_113,Humans_movi_113,1.30E-7
94,Humans_abstr_113,Humans_movi_114,3.17E-7
95,Humans_abstr_113,Humans_movi_115,1.08E-7
96,Humans_abstr_113,Machines_base_Centroid,5.45E-10
97,Humans_abstr_113,Machines_base_FreqSum,5.56E-10
98,Humans_abstr_113,Machines_base_GreedyKL,5.51E-10
99,Humans_abstr_113,Machines_base_LexRank,6.21E-10
100,Humans_abstr_113,Machines_base_TsSum,5.50E-10
101,Humans_abstr_113,Machines_soa_CLASSY04,1.50E-9
102,Humans_abstr_113,Machines_soa_CLASSY11,5.35E-10
103,Humans_abstr_113,Machines_soa_DPP,5.42E-10
104,Humans_abstr_113,Machines_soa_ICSISumm,5.51E-10
105,Humans_abstr_113,Machines_soa_OCCAMS_V,1.00E-9
106,Humans_abstr_113,Machines_soa_RegSum,5.50E-10
107,Humans_abstr_113,Machines_soa_Submodular,7.78E-10
112,Humans_abstr_114,Humans_abstr_115,1.05E-1
113,Humans_abstr_114,Humans_duc_A,1.07E-9
114,Humans_abstr_114,Humans_duc_B,1.40E-9
115,Humans_abstr_114,Humans_duc_C,1.07E-9
116,Humans_abstr_114,Humans_duc_D,1.53E-9
117,Humans_abstr_114,Humans_duc_E,8.77E-10
118,Humans_abstr_114,Humans_duc_F,3.26E-9
119,Humans_abstr_114,Humans_duc_G,7.27E-9
120,Humans_abstr_114,Humans_duc_H,3.90E-9
121,Humans_abstr_114,Humans_movi_101,6.51E-8
122,Humans_abstr_114,Humans_movi_102,1.21E-8
123,Humans_abstr_114,Humans_movi_103,2.21E-8
124,Humans_abstr_114,Humans_movi_104,5.89E-8
