,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,5.27E-2
2,Humans_abstr_110,Humans_abstr_113,1.84E-1
3,Humans_abstr_110,Humans_abstr_114,3.09E-1
4,Humans_abstr_110,Humans_abstr_115,4.34E-1
5,Humans_abstr_110,Humans_duc_A,9.08E-2
6,Humans_abstr_110,Humans_duc_B,1.41E-1
7,Humans_abstr_110,Humans_duc_C,1.90E-2
8,Humans_abstr_110,Humans_duc_D,2.70E-2
9,Humans_abstr_110,Humans_duc_E,4.34E-1
10,Humans_abstr_110,Humans_duc_F,3.70E-1
11,Humans_abstr_110,Humans_duc_G,2.44E-1
12,Humans_abstr_110,Humans_duc_H,2.56E-2
13,Humans_abstr_110,Humans_movi_101,5.15E-2
14,Humans_abstr_110,Humans_movi_102,2.84E-2
15,Humans_abstr_110,Humans_movi_103,4.96E-1
16,Humans_abstr_110,Humans_movi_104,2.75E-1
17,Humans_abstr_110,Humans_movi_105,1.92E-1
18,Humans_abstr_110,Humans_movi_110,3.63E-1
19,Humans_abstr_110,Humans_movi_111,4.27E-1
20,Humans_abstr_110,Humans_movi_112,4.26E-1
21,Humans_abstr_110,Humans_movi_113,5.78E-2
22,Humans_abstr_110,Humans_movi_114,8.89E-2
23,Humans_abstr_110,Humans_movi_115,4.00E-1
24,Humans_abstr_110,Machines_base_Centroid,1.98E-1
25,Humans_abstr_110,Machines_base_FreqSum,4.07E-1
26,Humans_abstr_110,Machines_base_GreedyKL,3.15E-1
27,Humans_abstr_110,Machines_base_LexRank,3.81E-1
28,Humans_abstr_110,Machines_base_TsSum,3.26E-1
29,Humans_abstr_110,Machines_soa_CLASSY04,9.58E-4
30,Humans_abstr_110,Machines_soa_CLASSY11,2.35E-8
31,Humans_abstr_110,Machines_soa_DPP,2.40E-3
32,Humans_abstr_110,Machines_soa_ICSISumm,3.25E-4
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.12E-6
34,Humans_abstr_110,Machines_soa_RegSum,3.70E-1
35,Humans_abstr_110,Machines_soa_Submodular,4.11E-2
38,Humans_abstr_112,Humans_abstr_113,1.45E-1
39,Humans_abstr_112,Humans_abstr_114,6.44E-2
40,Humans_abstr_112,Humans_abstr_115,3.94E-2
41,Humans_abstr_112,Humans_duc_A,3.95E-1
42,Humans_abstr_112,Humans_duc_B,6.31E-4
43,Humans_abstr_112,Humans_duc_C,3.40E-1
44,Humans_abstr_112,Humans_duc_D,4.30E-1
45,Humans_abstr_112,Humans_duc_E,2.52E-2
46,Humans_abstr_112,Humans_duc_F,8.24E-3
47,Humans_abstr_112,Humans_duc_G,2.13E-3
48,Humans_abstr_112,Humans_duc_H,3.92E-1
49,Humans_abstr_112,Humans_movi_101,4.80E-1
50,Humans_abstr_112,Humans_movi_102,4.57E-1
51,Humans_abstr_112,Humans_movi_103,1.47E-2
52,Humans_abstr_112,Humans_movi_104,1.13E-3
53,Humans_abstr_112,Humans_movi_105,1.92E-1
54,Humans_abstr_112,Humans_movi_110,4.07E-2
55,Humans_abstr_112,Humans_movi_111,1.14E-2
56,Humans_abstr_112,Humans_movi_112,4.10E-2
57,Humans_abstr_112,Humans_movi_113,4.62E-5
58,Humans_abstr_112,Humans_movi_114,1.28E-4
59,Humans_abstr_112,Humans_movi_115,8.06E-3
60,Humans_abstr_112,Machines_base_Centroid,2.03E-3
61,Humans_abstr_112,Machines_base_FreqSum,8.60E-3
62,Humans_abstr_112,Machines_base_GreedyKL,6.68E-2
63,Humans_abstr_112,Machines_base_LexRank,5.55E-3
64,Humans_abstr_112,Machines_base_TsSum,2.34E-3
65,Humans_abstr_112,Machines_soa_CLASSY04,3.53E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,8.08E-7
67,Humans_abstr_112,Machines_soa_DPP,4.32E-2
68,Humans_abstr_112,Machines_soa_ICSISumm,1.66E-2
69,Humans_abstr_112,Machines_soa_OCCAMS_V,9.28E-5
70,Humans_abstr_112,Machines_soa_RegSum,5.12E-3
71,Humans_abstr_112,Machines_soa_Submodular,4.53E-1
75,Humans_abstr_113,Humans_abstr_114,3.73E-1
76,Humans_abstr_113,Humans_abstr_115,2.59E-1
77,Humans_abstr_113,Humans_duc_A,2.22E-1
78,Humans_abstr_113,Humans_duc_B,8.37E-3
79,Humans_abstr_113,Humans_duc_C,8.68E-2
80,Humans_abstr_113,Humans_duc_D,1.34E-1
81,Humans_abstr_113,Humans_duc_E,2.65E-1
82,Humans_abstr_113,Humans_duc_F,1.07E-1
83,Humans_abstr_113,Humans_duc_G,3.83E-2
84,Humans_abstr_113,Humans_duc_H,1.16E-1
85,Humans_abstr_113,Humans_movi_101,1.73E-1
86,Humans_abstr_113,Humans_movi_102,1.63E-1
87,Humans_abstr_113,Humans_movi_103,1.57E-1
88,Humans_abstr_113,Humans_movi_104,5.05E-2
89,Humans_abstr_113,Humans_movi_105,4.57E-1
90,Humans_abstr_113,Humans_movi_110,2.63E-1
91,Humans_abstr_113,Humans_movi_111,8.43E-2
92,Humans_abstr_113,Humans_movi_112,1.52E-1
93,Humans_abstr_113,Humans_movi_113,1.67E-3
94,Humans_abstr_113,Humans_movi_114,6.50E-3
95,Humans_abstr_113,Humans_movi_115,7.00E-2
96,Humans_abstr_113,Machines_base_Centroid,3.24E-2
97,Humans_abstr_113,Machines_base_FreqSum,1.03E-1
98,Humans_abstr_113,Machines_base_GreedyKL,3.30E-1
99,Humans_abstr_113,Machines_base_LexRank,9.48E-2
100,Humans_abstr_113,Machines_base_TsSum,3.95E-2
101,Humans_abstr_113,Machines_soa_CLASSY04,7.06E-3
102,Humans_abstr_113,Machines_soa_CLASSY11,2.17E-7
103,Humans_abstr_113,Machines_soa_DPP,9.38E-3
104,Humans_abstr_113,Machines_soa_ICSISumm,2.18E-3
105,Humans_abstr_113,Machines_soa_OCCAMS_V,1.17E-5
106,Humans_abstr_113,Machines_soa_RegSum,8.99E-2
107,Humans_abstr_113,Machines_soa_Submodular,1.74E-1
112,Humans_abstr_114,Humans_abstr_115,4.00E-1
113,Humans_abstr_114,Humans_duc_A,1.14E-1
114,Humans_abstr_114,Humans_duc_B,1.71E-2
115,Humans_abstr_114,Humans_duc_C,5.65E-2
116,Humans_abstr_114,Humans_duc_D,1.18E-1
117,Humans_abstr_114,Humans_duc_E,3.92E-1
118,Humans_abstr_114,Humans_duc_F,1.76E-1
119,Humans_abstr_114,Humans_duc_G,7.92E-2
120,Humans_abstr_114,Humans_duc_H,7.79E-2
121,Humans_abstr_114,Humans_movi_101,8.64E-2
122,Humans_abstr_114,Humans_movi_102,1.25E-1
123,Humans_abstr_114,Humans_movi_103,2.65E-1
124,Humans_abstr_114,Humans_movi_104,1.05E-1
125,Humans_abstr_114,Humans_movi_105,4.53E-1
126,Humans_abstr_114,Humans_movi_110,3.77E-1
127,Humans_abstr_114,Humans_movi_111,1.17E-1
128,Humans_abstr_114,Humans_movi_112,2.38E-1
129,Humans_abstr_114,Humans_movi_113,4.47E-3
130,Humans_abstr_114,Humans_movi_114,1.40E-2
131,Humans_abstr_114,Humans_movi_115,1.22E-1
132,Humans_abstr_114,Machines_base_Centroid,6.61E-2
133,Humans_abstr_114,Machines_base_FreqSum,1.94E-1
