,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,9.81E-2
2,Humans_abstr_110,Humans_abstr_113,1.59E-1
3,Humans_abstr_110,Humans_abstr_114,3.74E-1
4,Humans_abstr_110,Humans_abstr_115,3.50E-1
5,Humans_abstr_110,Humans_duc_A,1.21E-10
6,Humans_abstr_110,Humans_duc_B,2.08E-5
7,Humans_abstr_110,Humans_duc_C,3.41E-10
8,Humans_abstr_110,Humans_duc_D,1.74E-8
9,Humans_abstr_110,Humans_duc_E,4.20E-9
10,Humans_abstr_110,Humans_duc_F,2.79E-10
11,Humans_abstr_110,Humans_duc_G,4.16E-9
12,Humans_abstr_110,Humans_duc_H,2.25E-10
13,Humans_abstr_110,Humans_movi_101,6.69E-4
14,Humans_abstr_110,Humans_movi_102,1.23E-1
15,Humans_abstr_110,Humans_movi_103,9.18E-4
16,Humans_abstr_110,Humans_movi_104,3.29E-3
17,Humans_abstr_110,Humans_movi_105,3.93E-3
18,Humans_abstr_110,Humans_movi_110,5.55E-3
19,Humans_abstr_110,Humans_movi_111,2.23E-2
20,Humans_abstr_110,Humans_movi_112,3.51E-3
21,Humans_abstr_110,Humans_movi_113,1.35E-3
22,Humans_abstr_110,Humans_movi_114,7.25E-4
23,Humans_abstr_110,Humans_movi_115,2.63E-3
24,Humans_abstr_110,Machines_base_Centroid,1.30E-10
25,Humans_abstr_110,Machines_base_FreqSum,1.82E-10
26,Humans_abstr_110,Machines_base_GreedyKL,1.30E-10
27,Humans_abstr_110,Machines_base_LexRank,1.21E-10
28,Humans_abstr_110,Machines_base_TsSum,1.48E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,2.08E-10
30,Humans_abstr_110,Machines_soa_CLASSY11,1.48E-10
31,Humans_abstr_110,Machines_soa_DPP,2.04E-10
32,Humans_abstr_110,Machines_soa_ICSISumm,1.35E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.58E-9
34,Humans_abstr_110,Machines_soa_RegSum,1.21E-10
35,Humans_abstr_110,Machines_soa_Submodular,1.86E-10
38,Humans_abstr_112,Humans_abstr_113,3.67E-1
39,Humans_abstr_112,Humans_abstr_114,1.67E-1
40,Humans_abstr_112,Humans_abstr_115,1.88E-1
41,Humans_abstr_112,Humans_duc_A,2.74E-10
