,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,9.94E-2
2,Humans_abstr_110,Humans_abstr_113,1.61E-1
3,Humans_abstr_110,Humans_abstr_114,3.74E-1
4,Humans_abstr_110,Humans_abstr_115,3.74E-1
5,Humans_abstr_110,Humans_duc_A,2.80E-10
6,Humans_abstr_110,Humans_duc_B,1.29E-5
7,Humans_abstr_110,Humans_duc_C,1.78E-9
8,Humans_abstr_110,Humans_duc_D,2.74E-8
9,Humans_abstr_110,Humans_duc_E,7.89E-9
10,Humans_abstr_110,Humans_duc_F,7.78E-10
11,Humans_abstr_110,Humans_duc_G,1.16E-8
12,Humans_abstr_110,Humans_duc_H,5.12E-10
13,Humans_abstr_110,Humans_movi_101,7.93E-4
14,Humans_abstr_110,Humans_movi_102,1.51E-1
15,Humans_abstr_110,Humans_movi_103,8.39E-4
16,Humans_abstr_110,Humans_movi_104,3.57E-3
17,Humans_abstr_110,Humans_movi_105,3.48E-3
18,Humans_abstr_110,Humans_movi_110,4.55E-3
19,Humans_abstr_110,Humans_movi_111,2.14E-2
20,Humans_abstr_110,Humans_movi_112,4.18E-3
21,Humans_abstr_110,Humans_movi_113,1.48E-3
22,Humans_abstr_110,Humans_movi_114,6.68E-4
23,Humans_abstr_110,Humans_movi_115,3.05E-3
24,Humans_abstr_110,Machines_base_Centroid,3.59E-10
25,Humans_abstr_110,Machines_base_FreqSum,4.29E-10
26,Humans_abstr_110,Machines_base_GreedyKL,6.16E-10
27,Humans_abstr_110,Machines_base_LexRank,2.25E-10
28,Humans_abstr_110,Machines_base_TsSum,5.46E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,1.39E-9
30,Humans_abstr_110,Machines_soa_CLASSY11,1.21E-9
31,Humans_abstr_110,Machines_soa_DPP,1.62E-9
32,Humans_abstr_110,Machines_soa_ICSISumm,7.88E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,6.55E-9
34,Humans_abstr_110,Machines_soa_RegSum,7.11E-10
35,Humans_abstr_110,Machines_soa_Submodular,3.11E-10
38,Humans_abstr_112,Humans_abstr_113,3.80E-1
39,Humans_abstr_112,Humans_abstr_114,1.59E-1
40,Humans_abstr_112,Humans_abstr_115,1.59E-1
41,Humans_abstr_112,Humans_duc_A,4.19E-10
42,Humans_abstr_112,Humans_duc_B,1.82E-4
43,Humans_abstr_112,Humans_duc_C,8.10E-9
44,Humans_abstr_112,Humans_duc_D,1.60E-7
45,Humans_abstr_112,Humans_duc_E,4.52E-8
46,Humans_abstr_112,Humans_duc_F,2.12E-9
47,Humans_abstr_112,Humans_duc_G,4.98E-8
48,Humans_abstr_112,Humans_duc_H,9.85E-10
49,Humans_abstr_112,Humans_movi_101,1.25E-2
50,Humans_abstr_112,Humans_movi_102,4.14E-1
51,Humans_abstr_112,Humans_movi_103,1.49E-2
52,Humans_abstr_112,Humans_movi_104,4.97E-2
53,Humans_abstr_112,Humans_movi_105,4.27E-2
54,Humans_abstr_112,Humans_movi_110,6.65E-2
55,Humans_abstr_112,Humans_movi_111,1.61E-1
56,Humans_abstr_112,Humans_movi_112,5.76E-2
57,Humans_abstr_112,Humans_movi_113,2.01E-2
58,Humans_abstr_112,Humans_movi_114,1.05E-2
59,Humans_abstr_112,Humans_movi_115,3.64E-2
60,Humans_abstr_112,Machines_base_Centroid,8.04E-10
61,Humans_abstr_112,Machines_base_FreqSum,7.49E-10
62,Humans_abstr_112,Machines_base_GreedyKL,1.55E-9
63,Humans_abstr_112,Machines_base_LexRank,4.19E-10
64,Humans_abstr_112,Machines_base_TsSum,1.38E-9
65,Humans_abstr_112,Machines_soa_CLASSY04,6.26E-9
66,Humans_abstr_112,Machines_soa_CLASSY11,4.01E-9
67,Humans_abstr_112,Machines_soa_DPP,8.63E-9
68,Humans_abstr_112,Machines_soa_ICSISumm,2.04E-9
69,Humans_abstr_112,Machines_soa_OCCAMS_V,3.09E-8
70,Humans_abstr_112,Machines_soa_RegSum,2.15E-9
71,Humans_abstr_112,Machines_soa_Submodular,6.67E-10
75,Humans_abstr_113,Humans_abstr_114,2.46E-1
76,Humans_abstr_113,Humans_abstr_115,2.46E-1
77,Humans_abstr_113,Humans_duc_A,3.22E-10
78,Humans_abstr_113,Humans_duc_B,8.60E-5
79,Humans_abstr_113,Humans_duc_C,4.31E-9
80,Humans_abstr_113,Humans_duc_D,8.14E-8
81,Humans_abstr_113,Humans_duc_E,2.31E-8
82,Humans_abstr_113,Humans_duc_F,1.34E-9
83,Humans_abstr_113,Humans_duc_G,2.99E-8
84,Humans_abstr_113,Humans_duc_H,6.47E-10
85,Humans_abstr_113,Humans_movi_101,6.27E-3
86,Humans_abstr_113,Humans_movi_102,4.74E-1
87,Humans_abstr_113,Humans_movi_103,7.36E-3
88,Humans_abstr_113,Humans_movi_104,2.74E-2
89,Humans_abstr_113,Humans_movi_105,2.36E-2
90,Humans_abstr_113,Humans_movi_110,3.60E-2
91,Humans_abstr_113,Humans_movi_111,1.05E-1
92,Humans_abstr_113,Humans_movi_112,3.15E-2
93,Humans_abstr_113,Humans_movi_113,1.07E-2
94,Humans_abstr_113,Humans_movi_114,5.34E-3
95,Humans_abstr_113,Humans_movi_115,2.04E-2
96,Humans_abstr_113,Machines_base_Centroid,5.90E-10
97,Humans_abstr_113,Machines_base_FreqSum,5.18E-10
98,Humans_abstr_113,Machines_base_GreedyKL,1.03E-9
99,Humans_abstr_113,Machines_base_LexRank,3.22E-10
100,Humans_abstr_113,Machines_base_TsSum,9.18E-10
101,Humans_abstr_113,Machines_soa_CLASSY04,3.49E-9
102,Humans_abstr_113,Machines_soa_CLASSY11,2.32E-9
103,Humans_abstr_113,Machines_soa_DPP,4.61E-9
104,Humans_abstr_113,Machines_soa_ICSISumm,1.29E-9
105,Humans_abstr_113,Machines_soa_OCCAMS_V,1.64E-8
106,Humans_abstr_113,Machines_soa_RegSum,1.36E-9
107,Humans_abstr_113,Machines_soa_Submodular,4.88E-10
112,Humans_abstr_114,Humans_abstr_115,4.94E-1
113,Humans_abstr_114,Humans_duc_A,1.73E-10
114,Humans_abstr_114,Humans_duc_B,1.58E-5
115,Humans_abstr_114,Humans_duc_C,1.06E-9
116,Humans_abstr_114,Humans_duc_D,1.82E-8
117,Humans_abstr_114,Humans_duc_E,5.19E-9
118,Humans_abstr_114,Humans_duc_F,4.80E-10
119,Humans_abstr_114,Humans_duc_G,9.59E-9
120,Humans_abstr_114,Humans_duc_H,2.48E-10
121,Humans_abstr_114,Humans_movi_101,1.19E-3
122,Humans_abstr_114,Humans_movi_102,2.30E-1
123,Humans_abstr_114,Humans_movi_103,1.34E-3
124,Humans_abstr_114,Humans_movi_104,6.14E-3
125,Humans_abstr_114,Humans_movi_105,5.46E-3
126,Humans_abstr_114,Humans_movi_110,7.63E-3
127,Humans_abstr_114,Humans_movi_111,3.45E-2
128,Humans_abstr_114,Humans_movi_112,6.85E-3
129,Humans_abstr_114,Humans_movi_113,2.31E-3
130,Humans_abstr_114,Humans_movi_114,1.05E-3
131,Humans_abstr_114,Humans_movi_115,4.85E-3
132,Humans_abstr_114,Machines_base_Centroid,2.88E-10
