,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,9.26E-2
2,Humans_abstr_110,Humans_abstr_113,1.51E-1
3,Humans_abstr_110,Humans_abstr_114,3.74E-1
4,Humans_abstr_110,Humans_abstr_115,3.50E-1
5,Humans_abstr_110,Humans_duc_A,1.11E-10
6,Humans_abstr_110,Humans_duc_B,5.80E-6
7,Humans_abstr_110,Humans_duc_C,2.66E-10
8,Humans_abstr_110,Humans_duc_D,8.49E-9
9,Humans_abstr_110,Humans_duc_E,1.76E-9
10,Humans_abstr_110,Humans_duc_F,1.38E-10
11,Humans_abstr_110,Humans_duc_G,3.02E-9
12,Humans_abstr_110,Humans_duc_H,1.87E-10
13,Humans_abstr_110,Humans_movi_101,6.02E-4
14,Humans_abstr_110,Humans_movi_102,1.20E-1
15,Humans_abstr_110,Humans_movi_103,5.57E-4
16,Humans_abstr_110,Humans_movi_104,2.57E-3
17,Humans_abstr_110,Humans_movi_105,2.95E-3
18,Humans_abstr_110,Humans_movi_110,4.18E-3
19,Humans_abstr_110,Humans_movi_111,1.84E-2
20,Humans_abstr_110,Humans_movi_112,3.48E-3
21,Humans_abstr_110,Humans_movi_113,9.62E-4
22,Humans_abstr_110,Humans_movi_114,4.82E-4
23,Humans_abstr_110,Humans_movi_115,1.93E-3
24,Humans_abstr_110,Machines_base_Centroid,1.44E-10
25,Humans_abstr_110,Machines_base_FreqSum,1.22E-10
26,Humans_abstr_110,Machines_base_GreedyKL,1.24E-10
27,Humans_abstr_110,Machines_base_LexRank,1.22E-10
28,Humans_abstr_110,Machines_base_TsSum,1.15E-10
29,Humans_abstr_110,Machines_soa_CLASSY04,2.49E-10
30,Humans_abstr_110,Machines_soa_CLASSY11,1.68E-10
31,Humans_abstr_110,Machines_soa_DPP,1.58E-10
32,Humans_abstr_110,Machines_soa_ICSISumm,1.40E-10
33,Humans_abstr_110,Machines_soa_OCCAMS_V,8.46E-10
34,Humans_abstr_110,Machines_soa_RegSum,1.15E-10
35,Humans_abstr_110,Machines_soa_Submodular,2.06E-10
38,Humans_abstr_112,Humans_abstr_113,3.85E-1
39,Humans_abstr_112,Humans_abstr_114,1.46E-1
40,Humans_abstr_112,Humans_abstr_115,1.73E-1
41,Humans_abstr_112,Humans_duc_A,2.47E-10
42,Humans_abstr_112,Humans_duc_B,8.43E-5
43,Humans_abstr_112,Humans_duc_C,9.05E-10
44,Humans_abstr_112,Humans_duc_D,6.67E-8
45,Humans_abstr_112,Humans_duc_E,1.14E-8
46,Humans_abstr_112,Humans_duc_F,3.06E-10
47,Humans_abstr_112,Humans_duc_G,1.11E-8
48,Humans_abstr_112,Humans_duc_H,6.50E-10
49,Humans_abstr_112,Humans_movi_101,1.26E-2
50,Humans_abstr_112,Humans_movi_102,4.95E-1
51,Humans_abstr_112,Humans_movi_103,1.07E-2
52,Humans_abstr_112,Humans_movi_104,3.91E-2
53,Humans_abstr_112,Humans_movi_105,4.69E-2
54,Humans_abstr_112,Humans_movi_110,7.61E-2
55,Humans_abstr_112,Humans_movi_111,1.59E-1
56,Humans_abstr_112,Humans_movi_112,5.71E-2
57,Humans_abstr_112,Humans_movi_113,1.53E-2
58,Humans_abstr_112,Humans_movi_114,9.64E-3
59,Humans_abstr_112,Humans_movi_115,2.65E-2
60,Humans_abstr_112,Machines_base_Centroid,3.17E-10
61,Humans_abstr_112,Machines_base_FreqSum,2.70E-10
62,Humans_abstr_112,Machines_base_GreedyKL,2.76E-10
63,Humans_abstr_112,Machines_base_LexRank,2.72E-10
64,Humans_abstr_112,Machines_base_TsSum,2.56E-10
65,Humans_abstr_112,Machines_soa_CLASSY04,8.50E-10
66,Humans_abstr_112,Machines_soa_CLASSY11,4.66E-10
67,Humans_abstr_112,Machines_soa_DPP,3.47E-10
68,Humans_abstr_112,Machines_soa_ICSISumm,3.10E-10
69,Humans_abstr_112,Machines_soa_OCCAMS_V,3.04E-9
70,Humans_abstr_112,Machines_soa_RegSum,2.55E-10
71,Humans_abstr_112,Machines_soa_Submodular,7.11E-10
75,Humans_abstr_113,Humans_abstr_114,2.30E-1
76,Humans_abstr_113,Humans_abstr_115,2.61E-1
77,Humans_abstr_113,Humans_duc_A,2.11E-10
78,Humans_abstr_113,Humans_duc_B,4.67E-5
79,Humans_abstr_113,Humans_duc_C,6.98E-10
80,Humans_abstr_113,Humans_duc_D,4.22E-8
81,Humans_abstr_113,Humans_duc_E,7.56E-9
82,Humans_abstr_113,Humans_duc_F,2.61E-10
83,Humans_abstr_113,Humans_duc_G,8.39E-9
84,Humans_abstr_113,Humans_duc_H,4.99E-10
85,Humans_abstr_113,Humans_movi_101,6.71E-3
86,Humans_abstr_113,Humans_movi_102,4.08E-1
87,Humans_abstr_113,Humans_movi_103,5.79E-3
88,Humans_abstr_113,Humans_movi_104,2.26E-2
89,Humans_abstr_113,Humans_movi_105,2.70E-2
90,Humans_abstr_113,Humans_movi_110,4.32E-2
91,Humans_abstr_113,Humans_movi_111,1.06E-1
92,Humans_abstr_113,Humans_movi_112,3.28E-2
93,Humans_abstr_113,Humans_movi_113,8.62E-3
94,Humans_abstr_113,Humans_movi_114,5.16E-3
95,Humans_abstr_113,Humans_movi_115,1.56E-2
96,Humans_abstr_113,Machines_base_Centroid,2.72E-10
97,Humans_abstr_113,Machines_base_FreqSum,2.31E-10
98,Humans_abstr_113,Machines_base_GreedyKL,2.36E-10
99,Humans_abstr_113,Machines_base_LexRank,2.32E-10
100,Humans_abstr_113,Machines_base_TsSum,2.18E-10
101,Humans_abstr_113,Machines_soa_CLASSY04,6.55E-10
102,Humans_abstr_113,Machines_soa_CLASSY11,3.77E-10
103,Humans_abstr_113,Machines_soa_DPP,2.97E-10
104,Humans_abstr_113,Machines_soa_ICSISumm,2.65E-10
105,Humans_abstr_113,Machines_soa_OCCAMS_V,2.31E-9
106,Humans_abstr_113,Machines_soa_RegSum,2.18E-10
107,Humans_abstr_113,Machines_soa_Submodular,5.47E-10
112,Humans_abstr_114,Humans_abstr_115,4.82E-1
113,Humans_abstr_114,Humans_duc_A,1.41E-10
114,Humans_abstr_114,Humans_duc_B,7.16E-6
115,Humans_abstr_114,Humans_duc_C,2.42E-10
116,Humans_abstr_114,Humans_duc_D,8.78E-9
117,Humans_abstr_114,Humans_duc_E,1.90E-9
118,Humans_abstr_114,Humans_duc_F,1.45E-10
