,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,6.59E-2
2,Humans_abstr_110,Humans_abstr_113,1.74E-1
3,Humans_abstr_110,Humans_abstr_114,1.41E-1
4,Humans_abstr_110,Humans_abstr_115,3.78E-1
5,Humans_abstr_110,Humans_duc_A,2.33E-7
6,Humans_abstr_110,Humans_duc_B,4.34E-7
7,Humans_abstr_110,Humans_duc_C,9.72E-7
8,Humans_abstr_110,Humans_duc_D,4.71E-7
9,Humans_abstr_110,Humans_duc_E,1.28E-6
10,Humans_abstr_110,Humans_duc_F,5.10E-7
11,Humans_abstr_110,Humans_duc_G,7.61E-7
12,Humans_abstr_110,Humans_duc_H,4.44E-7
13,Humans_abstr_110,Humans_movi_101,6.68E-5
14,Humans_abstr_110,Humans_movi_102,1.02E-4
15,Humans_abstr_110,Humans_movi_103,1.45E-4
16,Humans_abstr_110,Humans_movi_104,4.13E-5
17,Humans_abstr_110,Humans_movi_105,6.69E-4
18,Humans_abstr_110,Humans_movi_110,4.50E-6
19,Humans_abstr_110,Humans_movi_111,2.60E-4
20,Humans_abstr_110,Humans_movi_112,2.23E-5
21,Humans_abstr_110,Humans_movi_113,9.00E-4
22,Humans_abstr_110,Humans_movi_114,1.44E-4
23,Humans_abstr_110,Humans_movi_115,3.72E-4
24,Humans_abstr_110,Machines_base_Centroid,6.41E-8
25,Humans_abstr_110,Machines_base_FreqSum,3.19E-8
26,Humans_abstr_110,Machines_base_GreedyKL,3.36E-8
27,Humans_abstr_110,Machines_base_LexRank,8.75E-8
28,Humans_abstr_110,Machines_base_TsSum,2.42E-8
29,Humans_abstr_110,Machines_soa_CLASSY04,3.14E-7
30,Humans_abstr_110,Machines_soa_CLASSY11,1.79E-7
31,Humans_abstr_110,Machines_soa_DPP,1.99E-7
32,Humans_abstr_110,Machines_soa_ICSISumm,2.33E-7
33,Humans_abstr_110,Machines_soa_OCCAMS_V,6.91E-7
34,Humans_abstr_110,Machines_soa_RegSum,5.16E-8
35,Humans_abstr_110,Machines_soa_Submodular,5.37E-7
38,Humans_abstr_112,Humans_abstr_113,2.34E-1
39,Humans_abstr_112,Humans_abstr_114,3.18E-1
40,Humans_abstr_112,Humans_abstr_115,9.65E-2
41,Humans_abstr_112,Humans_duc_A,6.48E-10
42,Humans_abstr_112,Humans_duc_B,7.12E-10
43,Humans_abstr_112,Humans_duc_C,7.76E-10
44,Humans_abstr_112,Humans_duc_D,8.81E-10
45,Humans_abstr_112,Humans_duc_E,8.58E-10
46,Humans_abstr_112,Humans_duc_F,8.72E-10
47,Humans_abstr_112,Humans_duc_G,7.25E-10
48,Humans_abstr_112,Humans_duc_H,6.87E-10
49,Humans_abstr_112,Humans_movi_101,4.13E-8
50,Humans_abstr_112,Humans_movi_102,4.70E-8
