,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,4.40E-2
2,Humans_abstr_110,Humans_abstr_113,3.23E-1
3,Humans_abstr_110,Humans_abstr_114,8.68E-2
4,Humans_abstr_110,Humans_abstr_115,4.55E-1
5,Humans_abstr_110,Humans_duc_A,1.72E-5
6,Humans_abstr_110,Humans_duc_B,4.45E-7
7,Humans_abstr_110,Humans_duc_C,8.62E-7
8,Humans_abstr_110,Humans_duc_D,7.93E-6
9,Humans_abstr_110,Humans_duc_E,7.03E-5
10,Humans_abstr_110,Humans_duc_F,9.95E-6
11,Humans_abstr_110,Humans_duc_G,2.16E-3
12,Humans_abstr_110,Humans_duc_H,1.75E-4
13,Humans_abstr_110,Humans_movi_101,1.31E-3
14,Humans_abstr_110,Humans_movi_102,4.69E-3
15,Humans_abstr_110,Humans_movi_103,8.67E-5
16,Humans_abstr_110,Humans_movi_104,3.38E-3
17,Humans_abstr_110,Humans_movi_105,6.01E-3
18,Humans_abstr_110,Humans_movi_110,5.85E-4
19,Humans_abstr_110,Humans_movi_111,1.19E-4
20,Humans_abstr_110,Humans_movi_112,2.29E-3
21,Humans_abstr_110,Humans_movi_113,4.08E-4
22,Humans_abstr_110,Humans_movi_114,1.69E-4
23,Humans_abstr_110,Humans_movi_115,4.25E-5
24,Humans_abstr_110,Machines_base_Centroid,3.73E-8
25,Humans_abstr_110,Machines_base_FreqSum,1.79E-8
26,Humans_abstr_110,Machines_base_GreedyKL,2.43E-6
27,Humans_abstr_110,Machines_base_LexRank,3.01E-9
28,Humans_abstr_110,Machines_base_TsSum,1.35E-9
29,Humans_abstr_110,Machines_soa_CLASSY04,6.79E-4
30,Humans_abstr_110,Machines_soa_CLASSY11,6.37E-5
31,Humans_abstr_110,Machines_soa_DPP,1.18E-4
32,Humans_abstr_110,Machines_soa_ICSISumm,4.36E-4
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.04E-6
34,Humans_abstr_110,Machines_soa_RegSum,6.05E-8
35,Humans_abstr_110,Machines_soa_Submodular,4.15E-7
38,Humans_abstr_112,Humans_abstr_113,2.13E-1
39,Humans_abstr_112,Humans_abstr_114,4.29E-1
40,Humans_abstr_112,Humans_abstr_115,8.82E-2
41,Humans_abstr_112,Humans_duc_A,1.71E-4
42,Humans_abstr_112,Humans_duc_B,5.96E-7
43,Humans_abstr_112,Humans_duc_C,2.11E-6
44,Humans_abstr_112,Humans_duc_D,3.01E-5
45,Humans_abstr_112,Humans_duc_E,3.29E-4
46,Humans_abstr_112,Humans_duc_F,3.15E-5
47,Humans_abstr_112,Humans_duc_G,1.69E-2
48,Humans_abstr_112,Humans_duc_H,1.23E-3
49,Humans_abstr_112,Humans_movi_101,3.10E-2
50,Humans_abstr_112,Humans_movi_102,6.19E-2
51,Humans_abstr_112,Humans_movi_103,7.48E-4
52,Humans_abstr_112,Humans_movi_104,3.87E-2
53,Humans_abstr_112,Humans_movi_105,1.04E-1
54,Humans_abstr_112,Humans_movi_110,4.12E-3
55,Humans_abstr_112,Humans_movi_111,2.27E-3
56,Humans_abstr_112,Humans_movi_112,3.09E-2
57,Humans_abstr_112,Humans_movi_113,3.00E-3
58,Humans_abstr_112,Humans_movi_114,3.14E-3
59,Humans_abstr_112,Humans_movi_115,2.01E-4
60,Humans_abstr_112,Machines_base_Centroid,1.42E-7
61,Humans_abstr_112,Machines_base_FreqSum,2.70E-8
62,Humans_abstr_112,Machines_base_GreedyKL,8.34E-6
63,Humans_abstr_112,Machines_base_LexRank,1.71E-9
64,Humans_abstr_112,Machines_base_TsSum,5.21E-10
65,Humans_abstr_112,Machines_soa_CLASSY04,8.05E-3
66,Humans_abstr_112,Machines_soa_CLASSY11,2.94E-4
67,Humans_abstr_112,Machines_soa_DPP,3.01E-4
68,Humans_abstr_112,Machines_soa_ICSISumm,3.00E-3
69,Humans_abstr_112,Machines_soa_OCCAMS_V,2.53E-6
70,Humans_abstr_112,Machines_soa_RegSum,1.15E-7
71,Humans_abstr_112,Machines_soa_Submodular,4.66E-7
