,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,3.67E-1
2,Humans_abstr_110,Humans_abstr_113,1.22E-2
3,Humans_abstr_110,Humans_abstr_114,3.24E-1
4,Humans_abstr_110,Humans_abstr_115,2.23E-2
5,Humans_abstr_110,Humans_duc_A,2.64E-1
6,Humans_abstr_110,Humans_duc_B,1.49E-1
7,Humans_abstr_110,Humans_duc_C,1.99E-1
8,Humans_abstr_110,Humans_duc_D,1.41E-1
9,Humans_abstr_110,Humans_duc_E,3.55E-2
10,Humans_abstr_110,Humans_duc_F,7.13E-2
11,Humans_abstr_110,Humans_duc_G,6.75E-2
12,Humans_abstr_110,Humans_duc_H,1.02E-1
13,Humans_abstr_110,Humans_movi_101,2.07E-2
14,Humans_abstr_110,Humans_movi_102,3.00E-3
15,Humans_abstr_110,Humans_movi_103,1.45E-2
16,Humans_abstr_110,Humans_movi_104,5.34E-3
17,Humans_abstr_110,Humans_movi_105,3.28E-3
18,Humans_abstr_110,Humans_movi_110,1.08E-3
19,Humans_abstr_110,Humans_movi_111,6.50E-2
20,Humans_abstr_110,Humans_movi_112,1.69E-3
21,Humans_abstr_110,Humans_movi_113,2.59E-3
22,Humans_abstr_110,Humans_movi_114,1.64E-2
23,Humans_abstr_110,Humans_movi_115,3.18E-3
24,Humans_abstr_110,Machines_base_Centroid,1.98E-2
25,Humans_abstr_110,Machines_base_FreqSum,2.07E-1
26,Humans_abstr_110,Machines_base_GreedyKL,4.85E-1
27,Humans_abstr_110,Machines_base_LexRank,1.58E-3
28,Humans_abstr_110,Machines_base_TsSum,2.97E-1
29,Humans_abstr_110,Machines_soa_CLASSY04,1.20E-1
30,Humans_abstr_110,Machines_soa_CLASSY11,5.06E-3
31,Humans_abstr_110,Machines_soa_DPP,4.31E-1
32,Humans_abstr_110,Machines_soa_ICSISumm,3.40E-2
33,Humans_abstr_110,Machines_soa_OCCAMS_V,4.56E-2
34,Humans_abstr_110,Machines_soa_RegSum,9.84E-2
35,Humans_abstr_110,Machines_soa_Submodular,8.00E-4
38,Humans_abstr_112,Humans_abstr_113,1.07E-2
39,Humans_abstr_112,Humans_abstr_114,3.45E-1
40,Humans_abstr_112,Humans_abstr_115,3.86E-2
41,Humans_abstr_112,Humans_duc_A,1.00E-1
42,Humans_abstr_112,Humans_duc_B,4.92E-2
43,Humans_abstr_112,Humans_duc_C,4.56E-2
44,Humans_abstr_112,Humans_duc_D,5.68E-2
45,Humans_abstr_112,Humans_duc_E,5.97E-3
46,Humans_abstr_112,Humans_duc_F,1.31E-2
47,Humans_abstr_112,Humans_duc_G,2.38E-2
48,Humans_abstr_112,Humans_duc_H,3.05E-2
49,Humans_abstr_112,Humans_movi_101,2.09E-3
50,Humans_abstr_112,Humans_movi_102,8.91E-5
51,Humans_abstr_112,Humans_movi_103,1.63E-3
52,Humans_abstr_112,Humans_movi_104,6.35E-4
53,Humans_abstr_112,Humans_movi_105,3.39E-4
54,Humans_abstr_112,Humans_movi_110,1.12E-4
55,Humans_abstr_112,Humans_movi_111,7.61E-3
56,Humans_abstr_112,Humans_movi_112,7.65E-5
57,Humans_abstr_112,Humans_movi_113,5.00E-4
58,Humans_abstr_112,Humans_movi_114,2.51E-3
59,Humans_abstr_112,Humans_movi_115,1.46E-4
60,Humans_abstr_112,Machines_base_Centroid,3.37E-3
61,Humans_abstr_112,Machines_base_FreqSum,8.25E-2
62,Humans_abstr_112,Machines_base_GreedyKL,3.03E-1
63,Humans_abstr_112,Machines_base_LexRank,3.16E-4
64,Humans_abstr_112,Machines_base_TsSum,1.41E-1
65,Humans_abstr_112,Machines_soa_CLASSY04,5.25E-2
66,Humans_abstr_112,Machines_soa_CLASSY11,3.64E-4
67,Humans_abstr_112,Machines_soa_DPP,3.14E-1
68,Humans_abstr_112,Machines_soa_ICSISumm,5.80E-3
69,Humans_abstr_112,Machines_soa_OCCAMS_V,3.17E-3
70,Humans_abstr_112,Machines_soa_RegSum,1.16E-1
71,Humans_abstr_112,Machines_soa_Submodular,7.66E-5
75,Humans_abstr_113,Humans_abstr_114,3.79E-2
76,Humans_abstr_113,Humans_abstr_115,3.89E-1
77,Humans_abstr_113,Humans_duc_A,5.18E-4
78,Humans_abstr_113,Humans_duc_B,2.11E-4
79,Humans_abstr_113,Humans_duc_C,2.65E-4
80,Humans_abstr_113,Humans_duc_D,2.13E-4
81,Humans_abstr_113,Humans_duc_E,1.94E-5
82,Humans_abstr_113,Humans_duc_F,6.30E-5
83,Humans_abstr_113,Humans_duc_G,1.42E-4
84,Humans_abstr_113,Humans_duc_H,1.58E-4
85,Humans_abstr_113,Humans_movi_101,1.02E-5
86,Humans_abstr_113,Humans_movi_102,6.37E-7
87,Humans_abstr_113,Humans_movi_103,1.11E-5
88,Humans_abstr_113,Humans_movi_104,1.84E-6
89,Humans_abstr_113,Humans_movi_105,7.04E-7
90,Humans_abstr_113,Humans_movi_110,3.20E-7
91,Humans_abstr_113,Humans_movi_111,2.93E-5
92,Humans_abstr_113,Humans_movi_112,3.19E-7
93,Humans_abstr_113,Humans_movi_113,1.14E-6
94,Humans_abstr_113,Humans_movi_114,9.36E-6
95,Humans_abstr_113,Humans_movi_115,3.70E-7
96,Humans_abstr_113,Machines_base_Centroid,2.02E-5
97,Humans_abstr_113,Machines_base_FreqSum,3.41E-4
