,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,3.39E-2
2,Humans_abstr_110,Humans_abstr_113,1.80E-1
3,Humans_abstr_110,Humans_abstr_114,4.34E-2
4,Humans_abstr_110,Humans_abstr_115,1.22E-2
5,Humans_abstr_110,Humans_duc_A,2.24E-6
6,Humans_abstr_110,Humans_duc_B,7.50E-2
7,Humans_abstr_110,Humans_duc_C,9.48E-8
8,Humans_abstr_110,Humans_duc_D,2.76E-4
9,Humans_abstr_110,Humans_duc_E,1.49E-5
10,Humans_abstr_110,Humans_duc_F,1.69E-2
11,Humans_abstr_110,Humans_duc_G,2.15E-2
12,Humans_abstr_110,Humans_duc_H,2.57E-3
13,Humans_abstr_110,Humans_movi_101,1.02E-8
14,Humans_abstr_110,Humans_movi_102,4.92E-8
15,Humans_abstr_110,Humans_movi_103,3.70E-7
16,Humans_abstr_110,Humans_movi_104,1.47E-8
17,Humans_abstr_110,Humans_movi_105,3.87E-6
18,Humans_abstr_110,Humans_movi_110,1.64E-1
19,Humans_abstr_110,Humans_movi_111,4.96E-1
20,Humans_abstr_110,Humans_movi_112,4.92E-1
21,Humans_abstr_110,Humans_movi_113,9.76E-3
22,Humans_abstr_110,Humans_movi_114,2.06E-3
23,Humans_abstr_110,Humans_movi_115,3.03E-3
24,Humans_abstr_110,Machines_base_Centroid,6.57E-7
25,Humans_abstr_110,Machines_base_FreqSum,9.71E-7
26,Humans_abstr_110,Machines_base_GreedyKL,6.92E-7
27,Humans_abstr_110,Machines_base_LexRank,9.70E-7
28,Humans_abstr_110,Machines_base_TsSum,1.29E-6
29,Humans_abstr_110,Machines_soa_CLASSY04,2.56E-6
30,Humans_abstr_110,Machines_soa_CLASSY11,6.60E-10
31,Humans_abstr_110,Machines_soa_DPP,8.38E-3
32,Humans_abstr_110,Machines_soa_ICSISumm,8.13E-9
33,Humans_abstr_110,Machines_soa_OCCAMS_V,1.70E-9
34,Humans_abstr_110,Machines_soa_RegSum,1.07E-6
35,Humans_abstr_110,Machines_soa_Submodular,2.55E-4
38,Humans_abstr_112,Humans_abstr_113,3.31E-3
39,Humans_abstr_112,Humans_abstr_114,6.21E-5
40,Humans_abstr_112,Humans_abstr_115,3.32E-6
41,Humans_abstr_112,Humans_duc_A,2.91E-5
42,Humans_abstr_112,Humans_duc_B,4.92E-1
