,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,4.87E-1
2,Humans_abstr_110,Humans_abstr_113,3.93E-1
3,Humans_abstr_110,Humans_abstr_114,1.51E-1
4,Humans_abstr_110,Humans_abstr_115,1.56E-1
5,Humans_abstr_110,Humans_duc_A,9.59E-3
6,Humans_abstr_110,Humans_duc_B,2.68E-1
7,Humans_abstr_110,Humans_duc_C,2.64E-2
8,Humans_abstr_110,Humans_duc_D,1.65E-1
9,Humans_abstr_110,Humans_duc_E,2.64E-2
10,Humans_abstr_110,Humans_duc_F,3.97E-1
11,Humans_abstr_110,Humans_duc_G,2.24E-1
12,Humans_abstr_110,Humans_duc_H,4.06E-2
13,Humans_abstr_110,Humans_movi_101,2.28E-1
14,Humans_abstr_110,Humans_movi_102,4.33E-1
15,Humans_abstr_110,Humans_movi_103,2.16E-1
16,Humans_abstr_110,Humans_movi_104,2.30E-1
17,Humans_abstr_110,Humans_movi_105,1.45E-1
18,Humans_abstr_110,Humans_movi_110,4.52E-2
19,Humans_abstr_110,Humans_movi_111,8.15E-2
20,Humans_abstr_110,Humans_movi_112,4.37E-1
21,Humans_abstr_110,Humans_movi_113,1.19E-1
22,Humans_abstr_110,Humans_movi_114,7.32E-2
23,Humans_abstr_110,Humans_movi_115,1.66E-1
24,Humans_abstr_110,Machines_base_Centroid,5.23E-3
25,Humans_abstr_110,Machines_base_FreqSum,2.12E-1
26,Humans_abstr_110,Machines_base_GreedyKL,1.19E-3
27,Humans_abstr_110,Machines_base_LexRank,9.59E-3
28,Humans_abstr_110,Machines_base_TsSum,6.28E-3
29,Humans_abstr_110,Machines_soa_CLASSY04,1.98E-3
30,Humans_abstr_110,Machines_soa_CLASSY11,1.40E-4
31,Humans_abstr_110,Machines_soa_DPP,1.19E-3
32,Humans_abstr_110,Machines_soa_ICSISumm,5.49E-2
33,Humans_abstr_110,Machines_soa_OCCAMS_V,3.79E-1
34,Humans_abstr_110,Machines_soa_RegSum,2.64E-2
35,Humans_abstr_110,Machines_soa_Submodular,1.98E-3
38,Humans_abstr_112,Humans_abstr_113,3.89E-1
39,Humans_abstr_112,Humans_abstr_114,1.79E-1
40,Humans_abstr_112,Humans_abstr_115,1.67E-1
41,Humans_abstr_112,Humans_duc_A,1.50E-2
42,Humans_abstr_112,Humans_duc_B,3.15E-1
43,Humans_abstr_112,Humans_duc_C,3.62E-2
44,Humans_abstr_112,Humans_duc_D,1.82E-1
45,Humans_abstr_112,Humans_duc_E,3.62E-2
46,Humans_abstr_112,Humans_duc_F,3.97E-1
47,Humans_abstr_112,Humans_duc_G,2.54E-1
48,Humans_abstr_112,Humans_duc_H,5.32E-2
49,Humans_abstr_112,Humans_movi_101,2.36E-1
50,Humans_abstr_112,Humans_movi_102,4.21E-1
51,Humans_abstr_112,Humans_movi_103,2.28E-1
52,Humans_abstr_112,Humans_movi_104,2.34E-1
53,Humans_abstr_112,Humans_movi_105,1.47E-1
54,Humans_abstr_112,Humans_movi_110,5.36E-2
55,Humans_abstr_112,Humans_movi_111,9.59E-2
56,Humans_abstr_112,Humans_movi_112,4.46E-1
57,Humans_abstr_112,Humans_movi_113,1.22E-1
58,Humans_abstr_112,Humans_movi_114,7.80E-2
59,Humans_abstr_112,Humans_movi_115,1.70E-1
60,Humans_abstr_112,Machines_base_Centroid,8.85E-3
61,Humans_abstr_112,Machines_base_FreqSum,2.41E-1
62,Humans_abstr_112,Machines_base_GreedyKL,2.31E-3
63,Humans_abstr_112,Machines_base_LexRank,1.50E-2
64,Humans_abstr_112,Machines_base_TsSum,1.07E-2
65,Humans_abstr_112,Machines_soa_CLASSY04,3.48E-3
66,Humans_abstr_112,Machines_soa_CLASSY11,3.13E-4
67,Humans_abstr_112,Machines_soa_DPP,2.31E-3
68,Humans_abstr_112,Machines_soa_ICSISumm,7.35E-2
69,Humans_abstr_112,Machines_soa_OCCAMS_V,4.08E-1
70,Humans_abstr_112,Machines_soa_RegSum,3.62E-2
71,Humans_abstr_112,Machines_soa_Submodular,3.48E-3
75,Humans_abstr_113,Humans_abstr_114,1.18E-1
76,Humans_abstr_113,Humans_abstr_115,2.43E-1
77,Humans_abstr_113,Humans_duc_A,6.90E-3
78,Humans_abstr_113,Humans_duc_B,2.00E-1
79,Humans_abstr_113,Humans_duc_C,1.87E-2
80,Humans_abstr_113,Humans_duc_D,1.24E-1
81,Humans_abstr_113,Humans_duc_E,1.87E-2
82,Humans_abstr_113,Humans_duc_F,5.00E-1
83,Humans_abstr_113,Humans_duc_G,1.57E-1
84,Humans_abstr_113,Humans_duc_H,3.01E-2
85,Humans_abstr_113,Humans_movi_101,3.50E-1
86,Humans_abstr_113,Humans_movi_102,4.67E-1
87,Humans_abstr_113,Humans_movi_103,3.11E-1
88,Humans_abstr_113,Humans_movi_104,3.36E-1
89,Humans_abstr_113,Humans_movi_105,2.44E-1
90,Humans_abstr_113,Humans_movi_110,9.33E-2
91,Humans_abstr_113,Humans_movi_111,1.52E-1
92,Humans_abstr_113,Humans_movi_112,3.45E-1
93,Humans_abstr_113,Humans_movi_113,1.92E-1
94,Humans_abstr_113,Humans_movi_114,1.41E-1
95,Humans_abstr_113,Humans_movi_115,2.61E-1
96,Humans_abstr_113,Machines_base_Centroid,4.04E-3
97,Humans_abstr_113,Machines_base_FreqSum,1.55E-1
98,Humans_abstr_113,Machines_base_GreedyKL,9.22E-4
99,Humans_abstr_113,Machines_base_LexRank,6.90E-3
100,Humans_abstr_113,Machines_base_TsSum,4.49E-3
101,Humans_abstr_113,Machines_soa_CLASSY04,1.53E-3
102,Humans_abstr_113,Machines_soa_CLASSY11,1.23E-4
103,Humans_abstr_113,Machines_soa_DPP,9.22E-4
104,Humans_abstr_113,Machines_soa_ICSISumm,3.75E-2
105,Humans_abstr_113,Machines_soa_OCCAMS_V,2.74E-1
106,Humans_abstr_113,Machines_soa_RegSum,1.87E-2
107,Humans_abstr_113,Machines_soa_Submodular,1.53E-3
112,Humans_abstr_114,Humans_abstr_115,3.81E-2
113,Humans_abstr_114,Humans_duc_A,1.34E-1
114,Humans_abstr_114,Humans_duc_B,2.43E-1
115,Humans_abstr_114,Humans_duc_C,2.22E-1
116,Humans_abstr_114,Humans_duc_D,4.95E-1
117,Humans_abstr_114,Humans_duc_E,2.22E-1
118,Humans_abstr_114,Humans_duc_F,1.24E-1
119,Humans_abstr_114,Humans_duc_G,3.38E-1
120,Humans_abstr_114,Humans_duc_H,2.59E-1
121,Humans_abstr_114,Humans_movi_101,4.50E-2
122,Humans_abstr_114,Humans_movi_102,1.28E-1
123,Humans_abstr_114,Humans_movi_103,6.27E-2
124,Humans_abstr_114,Humans_movi_104,5.22E-2
125,Humans_abstr_114,Humans_movi_105,2.15E-2
126,Humans_abstr_114,Humans_movi_110,7.95E-3
127,Humans_abstr_114,Humans_movi_111,1.70E-2
128,Humans_abstr_114,Humans_movi_112,2.36E-1
129,Humans_abstr_114,Humans_movi_113,2.23E-2
130,Humans_abstr_114,Humans_movi_114,9.80E-3
131,Humans_abstr_114,Humans_movi_115,3.09E-2
132,Humans_abstr_114,Machines_base_Centroid,8.98E-2
133,Humans_abstr_114,Machines_base_FreqSum,3.82E-1
134,Humans_abstr_114,Machines_base_GreedyKL,3.84E-2
135,Humans_abstr_114,Machines_base_LexRank,1.34E-1
136,Humans_abstr_114,Machines_base_TsSum,1.18E-1
137,Humans_abstr_114,Machines_soa_CLASSY04,4.54E-2
138,Humans_abstr_114,Machines_soa_CLASSY11,7.30E-3
139,Humans_abstr_114,Machines_soa_DPP,3.84E-2
140,Humans_abstr_114,Machines_soa_ICSISumm,3.70E-1
141,Humans_abstr_114,Machines_soa_OCCAMS_V,1.93E-1
142,Humans_abstr_114,Machines_soa_RegSum,2.22E-1
143,Humans_abstr_114,Machines_soa_Submodular,4.54E-2
149,Humans_abstr_115,Humans_duc_A,1.10E-3
150,Humans_abstr_115,Humans_duc_B,5.35E-2
151,Humans_abstr_115,Humans_duc_C,3.49E-3
152,Humans_abstr_115,Humans_duc_D,3.80E-2
153,Humans_abstr_115,Humans_duc_E,3.49E-3
154,Humans_abstr_115,Humans_duc_F,2.36E-1
155,Humans_abstr_115,Humans_duc_G,4.07E-2
156,Humans_abstr_115,Humans_duc_H,6.80E-3
157,Humans_abstr_115,Humans_movi_101,3.40E-1
158,Humans_abstr_115,Humans_movi_102,2.14E-1
159,Humans_abstr_115,Humans_movi_103,4.27E-1
160,Humans_abstr_115,Humans_movi_104,3.83E-1
161,Humans_abstr_115,Humans_movi_105,4.71E-1
162,Humans_abstr_115,Humans_movi_110,2.88E-1
163,Humans_abstr_115,Humans_movi_111,4.03E-1
164,Humans_abstr_115,Humans_movi_112,1.41E-1
165,Humans_abstr_115,Humans_movi_113,4.31E-1
166,Humans_abstr_115,Humans_movi_114,3.83E-1
167,Humans_abstr_115,Humans_movi_115,4.63E-1
168,Humans_abstr_115,Machines_base_Centroid,6.90E-4
169,Humans_abstr_115,Machines_base_FreqSum,4.46E-2
170,Humans_abstr_115,Machines_base_GreedyKL,1.25E-4
171,Humans_abstr_115,Machines_base_LexRank,1.10E-3
172,Humans_abstr_115,Machines_base_TsSum,6.42E-4
173,Humans_abstr_115,Machines_soa_CLASSY04,2.30E-4
174,Humans_abstr_115,Machines_soa_CLASSY11,1.67E-5
175,Humans_abstr_115,Machines_soa_DPP,1.25E-4
176,Humans_abstr_115,Machines_soa_ICSISumm,7.02E-3
177,Humans_abstr_115,Machines_soa_OCCAMS_V,8.31E-2
178,Humans_abstr_115,Machines_soa_RegSum,3.49E-3
179,Humans_abstr_115,Machines_soa_Submodular,2.30E-4
186,Humans_duc_A,Humans_duc_B,2.15E-2
187,Humans_duc_A,Humans_duc_C,3.57E-1
188,Humans_duc_A,Humans_duc_D,1.24E-1
189,Humans_duc_A,Humans_duc_E,3.57E-1
190,Humans_duc_A,Humans_duc_F,6.90E-3
191,Humans_duc_A,Humans_duc_G,4.32E-2
192,Humans_duc_A,Humans_duc_H,3.25E-1
193,Humans_duc_A,Humans_movi_101,9.37E-4
194,Humans_duc_A,Humans_movi_102,7.93E-3
195,Humans_duc_A,Humans_movi_103,2.33E-3
196,Humans_duc_A,Humans_movi_104,1.61E-3
197,Humans_duc_A,Humans_movi_105,3.78E-4
198,Humans_duc_A,Humans_movi_110,8.26E-5
199,Humans_duc_A,Humans_movi_111,2.18E-4
200,Humans_duc_A,Humans_movi_112,2.38E-2
201,Humans_duc_A,Humans_movi_113,5.65E-4
202,Humans_duc_A,Humans_movi_114,1.23E-4
203,Humans_duc_A,Humans_movi_115,7.32E-4
204,Humans_duc_A,Machines_base_Centroid,3.84E-1
205,Humans_duc_A,Machines_base_FreqSum,6.23E-2
206,Humans_duc_A,Machines_base_GreedyKL,2.30E-1
207,Humans_duc_A,Machines_base_LexRank,4.95E-1
208,Humans_duc_A,Machines_base_TsSum,4.74E-1
209,Humans_duc_A,Machines_soa_CLASSY04,2.56E-1
210,Humans_duc_A,Machines_soa_CLASSY11,6.18E-2
211,Humans_duc_A,Machines_soa_DPP,2.30E-1
212,Humans_duc_A,Machines_soa_ICSISumm,1.95E-1
213,Humans_duc_A,Machines_soa_OCCAMS_V,1.34E-2
214,Humans_duc_A,Machines_soa_RegSum,3.57E-1
215,Humans_duc_A,Machines_soa_Submodular,2.56E-1
223,Humans_duc_B,Humans_duc_C,5.59E-2
224,Humans_duc_B,Humans_duc_D,2.68E-1
225,Humans_duc_B,Humans_duc_E,5.59E-2
226,Humans_duc_B,Humans_duc_F,2.00E-1
227,Humans_duc_B,Humans_duc_G,4.37E-1
228,Humans_duc_B,Humans_duc_H,7.44E-2
229,Humans_duc_B,Humans_movi_101,6.43E-2
230,Humans_duc_B,Humans_movi_102,2.27E-1
231,Humans_duc_B,Humans_movi_103,8.89E-2
232,Humans_duc_B,Humans_movi_104,8.13E-2
233,Humans_duc_B,Humans_movi_105,3.34E-2
234,Humans_duc_B,Humans_movi_110,7.51E-3
235,Humans_duc_B,Humans_movi_111,1.68E-2
236,Humans_duc_B,Humans_movi_112,3.81E-1
237,Humans_duc_B,Humans_movi_113,3.51E-2
238,Humans_duc_B,Humans_movi_114,1.29E-2
239,Humans_duc_B,Humans_movi_115,4.79E-2
240,Humans_duc_B,Machines_base_Centroid,1.03E-2
241,Humans_duc_B,Machines_base_FreqSum,3.83E-1
242,Humans_duc_B,Machines_base_GreedyKL,2.55E-3
243,Humans_duc_B,Machines_base_LexRank,2.15E-2
244,Humans_duc_B,Machines_base_TsSum,1.57E-2
245,Humans_duc_B,Machines_soa_CLASSY04,3.81E-3
246,Humans_duc_B,Machines_soa_CLASSY11,2.26E-4
247,Humans_duc_B,Machines_soa_DPP,2.55E-3
248,Humans_duc_B,Machines_soa_ICSISumm,1.30E-1
249,Humans_duc_B,Machines_soa_OCCAMS_V,3.56E-1
250,Humans_duc_B,Machines_soa_RegSum,5.59E-2
251,Humans_duc_B,Machines_soa_Submodular,3.81E-3
260,Humans_duc_C,Humans_duc_D,2.12E-1
261,Humans_duc_C,Humans_duc_E,4.95E-1
262,Humans_duc_C,Humans_duc_F,1.87E-2
263,Humans_duc_C,Humans_duc_G,9.84E-2
264,Humans_duc_C,Humans_duc_H,4.61E-1
265,Humans_duc_C,Humans_movi_101,3.66E-3
266,Humans_duc_C,Humans_movi_102,2.12E-2
267,Humans_duc_C,Humans_movi_103,6.69E-3
268,Humans_duc_C,Humans_movi_104,5.25E-3
269,Humans_duc_C,Humans_movi_105,1.57E-3
270,Humans_duc_C,Humans_movi_110,3.48E-4
271,Humans_duc_C,Humans_movi_111,8.78E-4
272,Humans_duc_C,Humans_movi_112,5.32E-2
273,Humans_duc_C,Humans_movi_113,1.90E-3
