,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,1.95E-1
2,Humans_abstr_110,Humans_abstr_113,1.25E-1
3,Humans_abstr_110,Humans_abstr_114,8.83E-2
4,Humans_abstr_110,Humans_abstr_115,3.30E-2
5,Humans_abstr_110,Humans_duc_A,2.63E-3
6,Humans_abstr_110,Humans_duc_B,1.78E-1
7,Humans_abstr_110,Humans_duc_C,5.87E-5
8,Humans_abstr_110,Humans_duc_D,1.58E-2
9,Humans_abstr_110,Humans_duc_E,7.10E-4
10,Humans_abstr_110,Humans_duc_F,4.69E-1
11,Humans_abstr_110,Humans_duc_G,1.14E-1
12,Humans_abstr_110,Humans_duc_H,1.44E-1
13,Humans_abstr_110,Humans_movi_101,3.42E-7
14,Humans_abstr_110,Humans_movi_102,9.51E-7
15,Humans_abstr_110,Humans_movi_103,8.74E-6
16,Humans_abstr_110,Humans_movi_104,3.94E-7
17,Humans_abstr_110,Humans_movi_105,2.70E-4
18,Humans_abstr_110,Humans_movi_110,2.18E-1
19,Humans_abstr_110,Humans_movi_111,3.63E-1
20,Humans_abstr_110,Humans_movi_112,2.70E-1
21,Humans_abstr_110,Humans_movi_113,1.01E-1
22,Humans_abstr_110,Humans_movi_114,9.85E-3
23,Humans_abstr_110,Humans_movi_115,8.14E-3
24,Humans_abstr_110,Machines_base_Centroid,7.73E-7
25,Humans_abstr_110,Machines_base_FreqSum,1.90E-6
26,Humans_abstr_110,Machines_base_GreedyKL,9.80E-7
27,Humans_abstr_110,Machines_base_LexRank,1.37E-6
28,Humans_abstr_110,Machines_base_TsSum,1.55E-6
29,Humans_abstr_110,Machines_soa_CLASSY04,1.61E-4
30,Humans_abstr_110,Machines_soa_CLASSY11,1.30E-8
31,Humans_abstr_110,Machines_soa_DPP,2.42E-1
32,Humans_abstr_110,Machines_soa_ICSISumm,1.86E-7
33,Humans_abstr_110,Machines_soa_OCCAMS_V,3.39E-6
34,Humans_abstr_110,Machines_soa_RegSum,2.39E-6
35,Humans_abstr_110,Machines_soa_Submodular,1.91E-1
38,Humans_abstr_112,Humans_abstr_113,3.39E-3
