Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_abstr_110,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_112,1.67E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_113,2.66E-1,3.41E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_114,1.41E-1,4.57E-1,3.12E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_115,3.81E-1,2.50E-1,3.63E-1,1.97E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_A,2.33E-7,1.19E-9,1.21E-8,8.55E-9,1.10E-9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_B,4.67E-7,2.11E-9,3.64E-8,8.50E-9,1.56E-9,4.92E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_C,9.74E-7,4.29E-9,1.06E-7,1.07E-8,3.16E-9,6.96E-5,2.64E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_D,4.72E-7,2.72E-9,2.94E-8,8.60E-9,2.24E-9,9.97E-2,4.23E-1,1.62E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_E,1.29E-6,6.66E-9,8.44E-8,1.18E-8,4.90E-9,2.40E-4,1.68E-2,4.27E-1,1.54E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_F,5.31E-7,2.49E-9,4.45E-8,9.91E-9,1.94E-9,6.84E-2,4.27E-1,3.01E-2,4.50E-1,1.50E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_G,7.62E-7,3.39E-9,6.88E-8,1.06E-8,3.34E-9,1.61E-3,1.20E-1,2.36E-1,7.66E-2,2.89E-1,1.47E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_H,4.45E-7,2.27E-9,4.07E-8,7.63E-9,1.87E-9,2.32E-2,3.59E-1,1.07E-1,2.93E-1,7.23E-2,3.59E-1,3.00E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_101,2.78E-4,5.17E-6,2.48E-5,1.56E-6,1.50E-5,5.01E-9,7.67E-8,9.13E-7,2.29E-7,2.51E-6,5.02E-7,6.51E-7,1.59E-7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,9.15E-5,7.30E-7,7.52E-6,5.21E-7,1.95E-6,7.27E-7,6.89E-5,3.14E-3,6.73E-5,5.41E-3,7.99E-5,8.98E-4,2.79E-4,5.23E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_103,4.13E-4,8.50E-6,5.18E-5,6.54E-6,2.12E-5,8.74E-7,9.89E-5,3.24E-3,4.90E-5,4.58E-3,9.43E-5,1.14E-3,4.15E-4,1.22E-1,3.85E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,7.67E-6,7.09E-8,5.54E-7,4.64E-8,8.47E-8,1.07E-5,4.93E-4,1.40E-2,5.63E-4,2.76E-2,5.98E-4,7.53E-3,1.72E-3,3.84E-3,2.18E-1,1.27E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
