Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_abstr_110,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_112,4.69E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_113,7.93E-2,2.41E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_114,1.01E-1,6.18E-2,2.73E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_115,2.53E-2,7.68E-3,3.89E-1,3.31E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_A,3.14E-3,1.18E-3,1.25E-4,3.73E-5,6.60E-6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_B,2.42E-1,2.48E-1,1.40E-2,2.21E-2,7.53E-3,1.50E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_C,9.81E-5,3.15E-5,3.00E-5,2.98E-6,5.93E-7,4.72E-2,7.40E-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_D,1.74E-2,1.54E-2,9.74E-4,5.47E-4,9.44E-5,4.38E-1,4.83E-2,7.66E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_E,9.29E-4,3.62E-4,8.14E-5,1.08E-5,2.26E-6,4.08E-1,1.03E-2,9.29E-2,3.07E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_F,4.15E-1,4.77E-1,3.09E-2,5.20E-2,1.86E-2,2.01E-2,4.96E-1,1.82E-3,4.63E-2,9.51E-3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_G,1.45E-1,1.51E-1,1.44E-2,1.51E-2,6.60E-3,3.77E-2,3.89E-1,1.57E-3,8.53E-2,3.53E-2,3.82E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_H,1.70E-1,1.72E-1,9.08E-3,1.06E-2,1.37E-3,5.11E-2,3.27E-1,1.59E-3,1.07E-1,2.15E-2,1.75E-1,4.46E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_101,7.95E-7,2.93E-7,1.70E-5,1.63E-7,4.04E-7,6.24E-4,8.70E-6,4.27E-2,4.60E-3,8.70E-4,1.94E-4,2.54E-5,4.88E-5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,5.09E-7,3.98E-8,1.43E-6,1.04E-8,1.62E-8,3.95E-3,9.52E-6,2.39E-1,1.40E-2,5.58E-3,1.29E-4,3.66E-5,5.68E-5,8.81E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_103,7.47E-5,1.23E-5,1.24E-5,7.43E-7,1.78E-7,1.05E-1,9.64E-4,3.67E-1,8.99E-2,1.73E-1,1.43E-3,3.44E-3,2.12E-3,1.40E-2,7.36E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,8.59E-6,1.20E-6,5.64E-6,5.93E-8,5.28E-8,4.89E-2,1.98E-4,4.30E-1,7.10E-2,5.84E-2,7.11E-4,1.21E-3,9.87E-4,7.85E-3,1.10E-1,3.03E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_105,3.12E-3,8.69E-4,1.81E-4,3.24E-5,9.83E-6,5.00E-1,3.30E-2,8.50E-2,3.96E-1,3.93E-1,3.30E-2,7.77E-2,3.76E-2,3.71E-4,2.95E-3,1.38E-1,2.08E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,1.12E-1,9.95E-2,5.13E-3,3.86E-3,5.98E-4,4.81E-2,2.93E-1,1.13E-3,1.36E-1,2.10E-2,2.01E-1,4.61E-1,4.54E-1,1.27E-5,1.79E-5,2.30E-3,3.62E-4,4.79E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
